Combi,k_eff
"(0, 20, 30)",27.059230696347065
"(6, 34, 35)",27.049039483180522
"(0, 13, 30)",27.044681174984945
"(7, 35, 65)",27.040713608074118
"(0, 54, 63)",27.023559979171274
"(0, 50)",27.004508501249582
"(0, 8, 53)",26.995609262862317
"(0, 3, 35)",26.99009870271234
"(0, 7, 41)",26.975664690859947
"(0, 8, 20)",26.94383452825496
"(0, 10, 35)",26.931356749514368
"(0, 8, 13)",26.92928500689284
"(0, 18, 60)",26.929129940154304
"(7, 35, 54)",26.909297940926002
"(0, 18, 30)",26.894879202538064
"(7, 35, 63)",26.894761133261795
"(0, 15, 35)",26.886061347569555
"(0, 60, 65)",26.863664759443893
"(0, 26, 65)",26.857168900749915
"(0, 7, 31)",26.848645998126404
"(0, 8, 18)",26.77948303444596
"(0, 35, 48)",26.735471601297025
"(0, 54, 60)",26.73224909229578
"(0, 26, 54)",26.7257532336018
"(0, 35, 51)",26.72337151759794
"(0, 60, 63)",26.71771228463157
"(0, 35, 64)",26.715991301415535
"(0, 8, 65)",26.714017853735548
"(0, 26, 63)",26.711216425937593
"(0, 30, 54)",26.69799835467954
"(0, 30, 63)",26.68346154701533
"(0, 17, 61)",26.675216440362
"(6, 7, 34)",26.66847277974543
"(0, 16, 34)",26.66444049731491
"(0, 19, 34)",26.662625394089478
"(6, 35, 61)",26.66229536438513
"(0, 21, 34)",26.655972725150093
"(0, 3, 7)",26.609531999277248
"(0, 34, 37)",26.60465028842448
"(7, 35, 60)",26.603450246386302
"(7, 26, 35)",26.59695438769232
"(0, 8, 54)",26.582602186587437
"(0, 17, 53)",26.578917063863365
"(7, 30, 35)",26.569199508770062
"(0, 8, 63)",26.568065378923226
"(0, 7, 10)",26.550790046079275
"(0, 17, 20)",26.527142329256005
"(6, 20, 35)",26.514221253279135
"(0, 13, 17)",26.51259280789388
"(0, 7, 15)",26.505494644134462
"(6, 13, 35)",26.49967173191701
"(0, 29, 34)",26.497451254596672
"(34, 35)",26.476882054410257
"(0, 34, 55)",26.471846501929882
"(7, 8, 35)",26.453803340677958
"(0, 26, 60)",26.4199055390621
"(0, 39)",26.40405971394133
"(0, 34, 67)",26.403753956740584
"(0, 24)",26.40294506045221
"(0, 35, 49)",26.40207903461246
"(0, 30, 60)",26.392150660139837
"(0, 26, 30)",26.38565480144586
"(14, 34, 35)",26.382370469786284
"(0, 23, 35)",26.376153192754998
"(0, 17, 18)",26.362790835447004
"(0, 7, 48)",26.354904897861932
"(6, 18, 35)",26.349869759470135
"(0, 7, 51)",26.342804814162847
"(0, 7, 64)",26.33542459798044
"(0, 44)",26.30583720313315
"(0, 17, 65)",26.297325654736593
"(6, 35, 65)",26.284404578759723
"(6, 7, 61)",26.281728660950037
"(0, 16, 61)",26.27769637851952
"(0, 19, 61)",26.275881275294086
"(0, 8, 26)",26.270258633353755
"(0, 21, 61)",26.2692286063547
"(0, 8, 30)",26.242503754431493
"(0, 37, 61)",26.21790616962909
"(0, 12)",26.21787083254566
"(0, 33, 34)",26.20845000080478
"(14,)",26.19334730053834
"(0, 16, 53)",26.18139700202088
"(0, 19, 53)",26.179581898795448
"(0, 21, 53)",26.172929229856067
"(0, 17, 54)",26.165909987588478
"(6, 35, 54)",26.152988911611608
"(0, 17, 63)",26.15137317992427
"(6, 35, 63)",26.1384521039474
"(6, 7, 20)",26.133654549844042
"(0, 16, 20)",26.129622267413524
"(0, 19, 20)",26.12780716418809
"(0, 37, 53)",26.121606793130454
"(0, 20, 21)",26.12115449524871
"(6, 7, 13)",26.11910502848192
"(0, 34, 52)",26.11896547890077
"(0, 13, 16)",26.115072746051403
"(0, 13, 19)",26.11325764282597
"(0, 29, 61)",26.11070713580128
"(0, 2)",26.10844107682137
"(0, 13, 21)",26.10660497388659
"(0, 55, 61)",26.08510238313449
"(0, 32)",26.07951627916214
"(0, 20, 37)",26.069832058523094
"(0, 13, 37)",26.055282537160974
"(7, 17, 35)",26.037111141679
"(0, 1)",26.037005353356456
"(0, 7, 49)",26.021512331177366
"(0, 71)",26.021275767864577
"(0, 61, 67)",26.017009837945192
"(0, 29, 53)",26.014407759302642
"(7, 14, 34)",26.00180376635119
"(14, 35, 61)",25.995626350990893
"(0, 53, 55)",25.988803006635848
"(6, 7, 18)",25.96930305603504
"(0, 16, 18)",25.965270773604523
"(0, 18, 19)",25.96345567037909
"(0, 20, 29)",25.962633024695286
"(0, 18, 21)",25.95680300143971
"(0, 20, 55)",25.937028272028492
"(0, 53, 67)",25.920710461446554
"(7, 34)",25.906031999257618
"(0, 18, 37)",25.905480564714093
"(6, 7, 65)",25.90383787532463
"(0, 16, 65)",25.89980559289411
"(14, 35, 53)",25.899326974492254
"(0, 19, 65)",25.89799048966868
"(35, 61)",25.89676587621717
"(0, 21, 65)",25.891337820729294
"(0, 34, 66)",25.87940486069125
"(0, 20, 67)",25.868935726839197
"(0, 25)",25.856723224082543
"(0, 13, 67)",25.854386205477077
"(0, 17, 26)",25.853566434354796
"(0, 35, 69)",25.8527911580885
"(14, 20, 35)",25.847552239884898
"(6, 35, 60)",25.847141217071908
"(6, 26, 35)",25.840645358377927
"(0, 37, 65)",25.84001538400368
"(13, 14, 35)",25.833002718522778
"(0, 17, 30)",25.825811555432537
"(0, 33, 61)",25.82170588200939
"(6, 30, 35)",25.812890479455668
"(0, 18, 29)",25.798281530886285
"(0, 18, 55)",25.77267677821949
"(6, 7, 54)",25.772422208176515
"(0, 16, 54)",25.768389925746
"(0, 19, 54)",25.766574822520568
"(0, 21, 54)",25.75992215358118
"(6, 7, 63)",25.757885400512308
"(0, 16, 63)",25.75385311808179
"(35, 53)",25.752316811469214
"(0, 19, 63)",25.752038014856357
"(0, 7, 68)",25.751367242147047
"(0, 21, 63)",25.745385345916972
"(0, 11, 35)",25.73582256692915
"(0, 52, 61)",25.732221360105378
"(0, 33, 53)",25.725406505510755
"(0, 8, 17)",25.710415387340433
"(0, 37, 54)",25.708599716855566
"(0, 55, 65)",25.707211597509083
"(0, 18, 67)",25.704584233030197
"(6, 8, 35)",25.697494311363563
"(0, 37, 63)",25.69406290919136
"(14, 18, 35)",25.683200746075897
"(20, 35)",25.67465470955818
"(0, 20, 33)",25.673631770903395
"(0, 13, 33)",25.659082249541274
"(13, 35)",25.652830427514996
"(7, 16, 35)",25.63959107983652
"(0, 65, 67)",25.639119052319785
"(7, 19, 35)",25.63777597661109
"(0, 52, 53)",25.635921983606742
"(7, 21, 35)",25.631123307671707
"(14, 35, 65)",25.617735565365486
"(7, 14, 61)",25.6150596475558
"(0, 29, 54)",25.601400683027762
"(0, 29, 63)",25.58686387536355
"(0, 20, 52)",25.584147248999383
"(7, 35, 37)",25.57980087094609
"(0, 54, 55)",25.575795930360968
"(0, 13, 52)",25.569597727637262
"(0, 59)",25.567978733243095
"(0, 9, 34)",25.54254952994268
"(4, 7, 35)",25.53327992917075
"(7, 14, 53)",25.51876027105716
"(0, 18, 33)",25.509280277094394
"(0, 63, 67)",25.493166577507463
"(0, 61, 66)",25.492660741895858
"(14, 35, 54)",25.486319898217374
"(7, 29, 35)",25.472601837118283
"(0, 7, 69)",25.472224454653407
"(14, 35, 63)",25.471783090553163
"(7, 14, 20)",25.466985536449805
"(6, 7, 60)",25.466574513636814
"(0, 16, 60)",25.462542231206296
"(6, 7, 26)",25.460078654942834
"(0, 16, 26)",25.45604637251232
"(0, 19, 26)",25.454231269286886
"(7, 13, 14)",25.45243601508768
"(0, 21, 26)",25.447578600347498
"(7, 35, 55)",25.44699708445149
"(0, 33, 65)",25.443815096383982
"(6, 7, 30)",25.432323776020574
"(0, 16, 30)",25.428291493590056
"(18, 35)",25.42812746884468
"(0, 19, 30)",25.426476390364623
"(0, 21, 30)",25.41982372142524
"(0, 18, 52)",25.419795755190382
"(0, 37, 60)",25.402752022315866
"(0, 53, 66)",25.39636136539722
"(0, 26, 37)",25.39625616362189
"(0, 40)",25.391867481591557
"(0, 34, 38)",25.39156827519871
"(7, 35, 67)",25.378904539262194
"(0, 30, 37)",25.368501284699626
"(6, 27)",25.357911140242464
"(0, 7, 11)",25.355255863494058
"(0, 20, 66)",25.344586630789863
"(0, 13, 66)",25.330037109427742
"(35, 65)",25.329929697779058
"(7, 61)",25.32591582106453
"(0, 34, 43)",25.325768767991008
"(6, 7, 8)",25.31692760792847
"(0, 8, 16)",25.31289532549795
"(0, 33, 54)",25.312399429235867
"(0, 8, 19)",25.31108022227252
"(0, 8, 21)",25.304427553333134
"(7, 14, 18)",25.302634042640804
"(0, 22, 35)",25.300795624884877
"(0, 33, 63)",25.29786262157166
"(0, 26, 29)",25.28905712979408
"(6, 17, 35)",25.280802112364604
"(0, 55, 60)",25.269948235821268
"(0, 26, 55)",25.263452377127287
"(0, 29, 30)",25.261302250871818
"(0, 8, 37)",25.25310511660752
