Combi,k_eff
"(8, 19)",54.85153695936383
"(8, 19, 71)",47.96718892913688
"(6, 8, 19)",47.868281706894045
"(8, 19, 56)",47.0591939604395
"(8, 19, 41)",47.05697881206985
"(8, 19, 32)",46.38034636149152
"(8, 19, 49)",46.34625649243992
"(8, 19, 36)",46.31935070952848
"(8, 19, 54)",45.21519842360649
"(8, 19, 24)",44.83817988486238
"(8, 19, 70)",44.761789711083225
"(7, 8, 19)",43.862886739941466
"(8, 19, 52)",43.72597604162141
"(5, 8, 19)",43.519372212453455
"(8, 19, 25)",43.10077976366091
"(8, 11, 19)",43.08624433224732
"(8, 18, 19)",43.078252698858265
"(4, 8, 19)",43.06899061425793
"(8, 19, 47)",42.774311737813875
"(8, 19, 59)",42.66925195507773
"(8, 19, 29)",42.368566270591494
"(8, 19, 66)",42.31226848667374
"(8, 12, 19)",42.075446358559915
"(8, 19, 65)",42.038721316522086
"(8, 19, 22)",41.919449388713076
"(8, 19, 43)",41.89921481624761
"(3, 8, 19)",41.4631243803436
"(8, 19, 28)",41.2634737043805
"(8, 19, 26)",41.11698150902987
"(8, 19, 37)",40.777330045928544
"(8, 19, 40)",40.53447301662075
"(8, 16, 19)",40.419483780251205
"(8, 19, 68)",40.39308033639381
"(8, 19, 39)",40.25493956877419
"(8, 9, 19)",40.00012900272868
"(8, 19, 33)",39.85976938836336
"(8, 19, 44)",39.82952934794012
"(0, 8, 19)",39.82179886386636
"(8, 19, 63)",39.62440893914004
"(8, 19, 34)",39.50254078562875
"(8, 19, 20)",39.43205412314161
"(8, 15, 19)",38.97717464635439
"(8, 19, 53)",38.82754556473979
"(8, 19, 69)",38.81917099545241
"(8, 19, 35)",38.76687386417112
"(8, 19, 46)",38.706084314800414
"(1, 8, 19)",38.600578260696764
"(8, 17, 19)",37.85304853415174
"(8, 19, 31)",37.60128557105972
"(8, 19, 27)",37.55862689347938
"(8, 19, 61)",37.55409460529518
"(8, 19, 30)",37.118891425048616
"(8, 10, 19)",36.49237296501162
"(8, 14, 19)",36.49237296501162
"(8, 19, 38)",36.49237296501162
"(8, 19, 42)",36.49237296501162
"(8, 19, 45)",36.49237296501162
"(8, 19, 50)",36.49237296501162
"(8, 19, 51)",36.49237296501162
"(8, 19, 57)",36.49237296501162
"(8, 19, 58)",36.49237296501162
"(8, 19, 62)",36.49237296501162
"(8, 19, 64)",36.49237296501162
"(8, 19, 67)",36.49237296501162
"(71,)",34.42444789237579
"(6, 71)",34.276087059011545
"(6,)",34.127726225647294
"(6, 56, 71)",33.41754570143558
"(6, 41, 71)",33.41533055306593
"(56, 71)",33.062455439329725
"(41, 71)",33.059132716775245
"(6, 56)",32.914094605965474
"(6, 41)",32.910771883411
"(6, 49, 71)",32.704608233436
"(6, 36, 71)",32.677702450524556
"(41, 56, 71)",32.606242806611384
"(6, 41, 56)",32.50733558436855
"(32, 71)",32.044184040907744
"(49, 71)",31.993049237330354
"(36, 71)",31.95269056296319
"(32, 56, 71)",31.92961035603305
"(32, 41, 71)",31.9273952076634
"(49, 56, 71)",31.895520486981454
"(41, 49, 71)",31.893305338611803
"(36, 56, 71)",31.868614704070012
"(36, 41, 71)",31.86639955570036
"(6, 49)",31.844688403966103
"(6, 36)",31.804329729598948
"(6, 49, 56)",31.79661326473862
"(6, 41, 49)",31.79439811636897
"(6, 36, 56)",31.76970748182718
"(6, 36, 41)",31.76749233345753
"(56,)",31.700462986283657
"(41, 56)",31.69714026372918
"(41,)",31.693817541174706
"(6, 54, 71)",31.573550164602565
"(32, 49, 71)",31.216672888033468
"(6, 24, 71)",31.196531625858455
"(32, 36, 71)",31.18976710512203
"(36, 49, 71)",31.15567723607043
"(6, 70, 71)",31.120141452079302
"(6, 36, 49)",31.0567700138276
"(32, 41, 56)",31.01940023896602
"(41, 49, 56)",30.985310369914426
"(36, 41, 56)",30.958404587002985
"(54, 56, 71)",30.76446241814802
"(41, 54, 71)",30.76224726977837
"(32, 56)",30.68219158786168
"(32, 41)",30.6788688653072
"(6, 54, 56)",30.66555519590519
"(6, 41, 54)",30.663340047535538
"(49, 56)",30.631056784284286
"(41, 49)",30.62773406172981
"(36, 56)",30.590698109917128
"(36, 41)",30.587375387362652
"(24, 56, 71)",30.38744387940391
"(24, 41, 71)",30.38522873103426
"(56, 70, 71)",30.311053705624758
"(41, 70, 71)",30.308838557255108
"(32, 49, 56)",30.30867791933609
"(32, 41, 49)",30.30646277096644
"(54, 71)",30.2964621340802
"(6, 24, 56)",30.288536657161078
"(6, 24, 41)",30.286321508791428
"(32, 36, 56)",30.281772136424653
"(32, 36, 41)",30.279556988055003
"(36, 49, 56)",30.247682267373055
"(36, 41, 49)",30.245467119003404
"(6, 7, 71)",30.22123848093754
"(6, 56, 70)",30.21214648338192
"(6, 41, 70)",30.20993133501227
"(6, 54)",30.148101300715958
"(32, 54, 71)",30.085614819200035
"(49, 54, 71)",30.05152495014844
"(36, 54, 71)",30.024619167237
"(6, 49, 54)",29.952617727905608
"(6, 36, 54)",29.925711944994166
"(5, 6, 71)",29.87772395344953
"(41, 54, 56)",29.854252301080994
"(24, 71)",29.730934325964036
"(24, 32, 71)",29.708596280455925
"(24, 49, 71)",29.67450641140433
"(32,)",29.6639201894397
"(24, 36, 71)",29.64760062849289
"(32, 70, 71)",29.63220610667677
"(70, 71)",29.616349065295307
"(32, 49)",29.61278538586231
"(49, 70, 71)",29.598116237625177
"(6, 24)",29.582573492599792
"(6, 24, 49)",29.575599189161498
"(32, 36)",29.572426711495147
"(36, 70, 71)",29.571210454713736
"(32, 36, 49)",29.568834668425072
"(49,)",29.561650582284916
"(6, 24, 36)",29.54869340625006
"(36, 49)",29.521291907917757
"(6, 49, 70)",29.49920901538234
"(36,)",29.480933233550598
"(24, 41, 56)",29.477233762336883
