Combi,k_eff
"(2, 4)",59.71422744223247
"(2, 4, 18)",50.65425439111991
"(2, 4, 42)",50.48234946087261
"(2, 4, 22)",49.66331811871265
"(2, 4, 10)",48.99111853354378
"(2, 4, 28)",47.21468305111136
"(2, 4, 56)",47.1718173824291
"(2, 4, 54)",47.162715615104396
"(2, 4, 69)",47.14239425788563
"(2, 4, 12)",46.960972614850505
"(2, 4, 23)",46.82583199482132
"(2, 4, 52)",46.42674042448127
"(2, 4, 55)",46.100957506988934
"(2, 4, 16)",45.957973280576034
"(2, 4, 35)",45.73218408743978
"(2, 4, 11)",45.68518959591454
"(2, 4, 62)",45.667926280176935
"(2, 4, 58)",45.66294415511325
"(2, 4, 70)",45.18652008093209
"(2, 4, 57)",44.543750544934085
"(2, 4, 5)",44.38100612268909
"(2, 4, 29)",44.286639308404695
"(2, 4, 60)",43.994749261919836
"(0, 2, 4)",43.931944817503535
"(2, 4, 44)",43.83574684063379
"(2, 4, 14)",43.83388637260783
"(2, 4, 68)",43.76377208723226
"(2, 4, 30)",43.723759335095934
"(2, 4, 64)",43.48761653631716
"(2, 4, 31)",43.45911165353994
"(2, 4, 48)",43.40608956029194
"(2, 4, 40)",43.38556154511516
"(2, 4, 49)",43.27235450958787
"(2, 4, 67)",43.199588462250034
"(1, 2, 4)",43.16711552537296
"(2, 3, 4)",43.15629836194875
"(2, 4, 41)",43.10371302291489
"(2, 4, 13)",42.93875207127284
"(2, 4, 50)",42.72893676579022
"(2, 4, 25)",42.60130576543392
"(2, 4, 9)",42.45853684662263
"(2, 4, 59)",42.42522235898169
"(2, 4, 47)",42.31604461533102
"(2, 4, 34)",42.17562304014216
"(2, 4, 65)",41.81325977020845
"(2, 4, 6)",41.747964154099385
"(2, 4, 51)",41.64490677953478
"(2, 4, 15)",41.460594493509525
"(2, 4, 7)",41.358133517993245
"(2, 4, 38)",41.26268256142056
"(2, 4, 33)",40.95591683014711
"(2, 4, 45)",40.75649382252365
"(2, 4, 63)",40.64671741612979
"(2, 4, 21)",40.43787400124907
"(2, 4, 8)",39.71719210880867
"(2, 4, 19)",39.71719210880867
"(2, 4, 20)",39.71719210880867
"(2, 4, 26)",39.71719210880867
"(2, 4, 27)",39.71719210880867
"(2, 4, 32)",39.71719210880867
"(2, 4, 37)",39.71719210880867
"(2, 4, 39)",39.71719210880867
"(2, 4, 43)",39.71719210880867
"(2, 4, 46)",39.71719210880867
"(2, 4, 53)",39.71719210880867
"(2, 4, 61)",39.71719210880867
"(2, 4, 71)",39.71719210880867
"(18,)",32.81118684693373
"(18, 42)",32.553329451562774
"(42,)",32.29547205619182
"(18, 22, 42)",31.64834564427916
"(18, 36, 42)",31.61815717154022
"(17, 18, 42)",31.531659448672357
"(18, 22)",31.324782438322835
"(18, 36)",31.27949972921443
"(17, 18)",31.149753144912637
"(22, 42)",31.06692504295188
"(36, 42)",31.021642333843474
"(10, 18, 42)",30.97614605911029
"(17, 42)",30.891895749541682
"(18, 22, 36)",30.799125829380266
"(17, 18, 22)",30.712628106512398
"(17, 18, 36)",30.682439633773463
"(22, 36, 42)",30.627220899132958
"(17, 22, 42)",30.540723176265097
"(17, 36, 42)",30.51053470352616
"(10, 18)",30.316483060569535
"(10, 18, 22)",30.157114716950332
"(10, 18, 36)",30.126926244211397
"(10, 42)",30.05862566519858
"(10, 22, 42)",29.98520978670303
"(10, 36, 42)",29.95502131396409
"(22,)",29.83837802971194
"(22, 36)",29.793095320603534
"(36,)",29.747812611495124
"(17, 22, 36)",29.691503361366202
"(17, 22)",29.663348736301742
"(17, 36)",29.618066027193333
"(17,)",29.48831944289154
"(18, 28, 42)",29.199710576677866
