Combi,k_eff
"(29, 42)",31.012240685683686
"(29, 30, 42)",29.97974716008614
"(6, 29, 42)",29.411013518259026
"(29, 42, 53)",28.838566436531508
"(29, 35, 42)",28.47733101397306
"(29, 42, 58)",28.359671431072943
"(30,)",28.058555396051297
"(17, 29, 42)",27.99888856431304
"(12, 29, 42)",27.898580700377615
"(29, 42, 69)",27.799428134702808
"(24, 29, 42)",27.576650864661207
"(29, 32, 42)",27.545448383229456
"(29, 31, 42)",27.107707904514484
"(21, 29, 42)",26.943691531967104
"(30, 49)",26.85016843565883
"(30, 63)",26.721137818810256
"(29, 42, 70)",26.62424311540738
"(29, 42, 50)",26.442735237911275
"(29, 39, 42)",26.383054871734636
"(6,)",26.35235447056996
"(30, 53)",26.346784310719347
"(11, 29, 42)",26.24540140206082
"(30, 49, 53)",26.11178336556835
"(10, 29, 42)",26.060441230122187
"(29, 41, 42)",26.02705956306425
"(30, 53, 63)",26.025762954335967
"(6, 49)",25.99706797291816
"(6, 63)",25.868037356069586
"(1, 29, 42)",25.824143027775676
"(30, 35)",25.80493117688168
"(30, 35, 49)",25.750547943009906
"(29, 42, 59)",25.667591358777038
"(30, 35, 63)",25.664527531777523
"(49,)",25.641781475266363
"(30, 49, 58)",25.632888360109785
"(30, 58)",25.6284418025315
"(30, 58, 63)",25.546867948877406
"(6, 49, 53)",25.54304972374124
"(6, 53)",25.49368384797868
"(6, 53, 63)",25.45702931250886
"(30, 35, 53)",25.414958526383586
"(63,)",25.383720241569215
"(30, 53, 58)",25.297298943483465
"(6, 35, 49)",25.18181430118279
"(12, 30, 49)",25.171797629414456
"(49, 53)",25.13839735032688
"(27, 29, 42)",25.123924947197445
"(6, 35, 63)",25.095793889950407
"(12, 30, 63)",25.085777218182074
"(30, 49, 69)",25.07264506373965
"(6, 49, 58)",25.064154718282676
"(53, 63)",25.009366733478306
"(30, 63, 69)",24.986624652507267
"(6, 58, 63)",24.97813430705029
"(6, 35)",24.95183071414101
"(12, 30)",24.936805706488506
"(30, 35, 58)",24.93606352092502
"(29, 42, 44)",24.918654872111148
"(24, 30, 49)",24.849867793698053
"(6, 35, 53)",24.84622488455647
"(12, 30, 53)",24.836208212788137
"(29, 42, 48)",24.830163326369103
"(30, 32, 49)",24.818665312266297
"(30, 69)",24.7880768579763
"(6, 58)",24.775341339790835
"(24, 30, 63)",24.76384738246567
"(30, 53, 69)",24.73705564711333
"(30, 32, 63)",24.732644901033915
"(6, 53, 58)",24.728565301656353
"(6, 17, 49)",24.703371851522775
"(7, 29, 42)",24.689287923483857
"(53,)",24.635013225387397
"(6, 17, 63)",24.617351440290392
"(35, 49, 53)",24.609367219455272
"(6, 12, 49)",24.603063987587348
"(35, 49)",24.596544216489214
"(35, 53, 63)",24.52334680822289
