cat,output
[1],8.11141281766182
[2],12.860210488563412
[3],17.33559349084579
[4],3.59373228865624
[5],30.444003961080224
[6],15.153953833359024
[7],12.678132702985286
[8],28.03166600861954
[9],21.668333679946528
[10],3.997058299669343
[11],18.102219879343117
[12],4.231821244661073
[13],0.9894957786898898
[14],21.702821076351963
[15],16.27867587618527
[16],2.723313164544897
[17],12.07390994884405
[18],10.45927048078136
[19],10.75369721586038
[20],6.0097652378141895
[21],10.830108766687284
[22],27.61000722635885
[23],1.5702752933135171
[24],1.6792305521540152
[25],30.04616969584981
[26],16.39364676246018
[27],11.41862204832142
[28],34.266643577423686
[29],10.41590873517627
[30],14.77949521104558
[31],13.5452033958232
[32],9.058967116659858
[33],3.824765078996352
[34],9.82388733588149
[35],15.019106131743236
[36],22.73397225053043
[37],10.018830562677495
[38],17.045829351515973
[39],19.73269989205665
[40],9.262911581301475
[41],7.524112684168271
[42],19.64199318924932
[43],19.65080323049081
[44],1.2713950373448792
[45],9.47834639044017
[46],23.630622840796576
[47],30.16173488997666
[48],14.327748551734215
[49],11.503079422473222
[50],25.80354772897265
[51],1.499015201780036
[52],2.201066750068941
[53],13.397407863804002
[54],15.190367160518916
[55],1.1244719427771426
[56],1.789325236516764
[57],0.2744589514497925
[58],1.1764224120888087
[59],8.998212837668623
[60],15.474569590689736
[61],12.387267155484873
[62],30.010264028739986
[63],7.761841153990499
[64],0.1475850448776212
[65],16.73683366997243
[66],0.7404348986385998
[67],4.11086794663666
[68],4.166919
[69],0.0822854824921342
[70],2.8733060997562303
[71],23.12364739635877
[72],0.5835339934821586
