id,name,smiles,formula
71,J502-1,C[C@H](c1c[cH-]cc1P(C(C)(C)C)C(C)(C)C)P(c1ccccc1)c1ccccc1.[Fe+2].c1cc[cH-]c1,C32H40FeP2
73,J403-1,C[C@H](c1c[cH-]cc1P(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)P(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1.[Fe+2].c1cc[cH-]c1,C40H28F12FeP2
74,J216-1,C[C@H](c1c[cH-]cc1P(c1cccc2ccccc12)c1cccc2ccccc12)P(C(C)(C)C)C(C)(C)C.[Fe+2].c1cc[cH-]c1,C40H44FeP2
76,W029_R,C[C@H](c1[cH-]ccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1)P(C(C)(C)C)C(C)(C)C.[Fe+2].c1cc[cH-]c1,C38H56FeP2
80,J404-1,Cc1cc(C)cc(P(c2cc(C)cc(C)c2)[C@H](C)c2c[cH-]cc2P(c2cccc3ccccc23)c2cccc3ccccc23)c1.[Fe+2].c1cc[cH-]c1,C48H44FeP2
81,M002-1 ,CN(C)[C@H](c1ccccc1)[c-]1cccc1P(C1CCCCC1)C1CCCCC1.CN(C)[C@H](c1ccccc1)c1c[cH-]cc1P(C1CCCCC1)C1CCCCC1.[Fe+2],C52H74FeN2P2
91,BPPFA,C[C@@H]([c-]1cccc1P(c1ccccc1)c1ccccc1)N(C)C.[Fe+2].c1ccc(P(c2ccccc2)c2cc[cH-]c2)cc1,C38H37FeNP2
93,S-BINAPINE,CC(C)(C)P1Cc2ccc3ccccc3c2-c2c(ccc3ccccc23)[C@H]1[C@@H]1c2ccc3ccccc3c2-c2c(ccc3ccccc23)CP1C(C)(C)C,C52H48P2
97,R-Difluorophos,FC1(F)Oc2ccc(P(c3ccccc3)c3ccccc3)c(-c3c(P(c4ccccc4)c4ccccc4)ccc4c3OC(F)(F)O4)c2O1,C38H24F4O4P2
103,RR_QuinoxP,CP(c1nc2ccccc2nc1P(C)C(C)(C)C)C(C)(C)C,C18H28N2P2
111,R-Mod-DIOP,COc1c(C)cc(P(C[C@@H]2OC(C)(C)O[C@H]2CP(c2cc(C)c(OC)c(C)c2)c2cc(C)c(OC)c(C)c2)c2cc(C)c(OC)c(C)c2)cc1C,C43H56O6P2
113,catASiumMNN,C[C@@H]1CC[C@@H](C)P1c1c(P2[C@H](C)CC[C@H]2C)c(=O)n(C)n(C)c1=O,C18H30N2O2P2
114,CatASiumD,c1ccc(CN2C[C@H](P(c3ccccc3)c3ccccc3)[C@@H](P(c3ccccc3)c3ccccc3)C2)cc1,C35H33NP2
116,DMMSEGPHOS,COc1c(C)cc(P(c2cc(C)c(OC)c(C)c2)c2ccc3c(c2-c2c(P(c4cc(C)c(OC)c(C)c4)c4cc(C)c(OC)c(C)c4)ccc4c2OCO4)OCO3)cc1C,C50H52O8P2
117,J001_2,C[C@@H](c1c[cH-]cc1P(c1ccccc1)c1ccccc1)P(C1CCCCC1)C1CCCCC1.[Fe+2].c1cc[cH-]c1,C36H44FeP2
118,J004_2,C[C@@H](c1ccc[c-]1P(C1CCCCC1)C1CCCCC1)P(c1ccccc1)c1ccccc1.[Fe+2].c1cc[cH-]c1,C36H44FeP2
120,J011_1,C[C@H](c1c[cH-]cc1P(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1)P(C(C)(C)C)C(C)(C)C.[Fe+2].c1cc[cH-]c1,C34H38F6FeP2
121,J031-1,COc1c(C)cc(P(c2cc(C)c(OC)c(C)c2)c2c[cH-]cc2[C@@H](C)P(C(C)(C)C)C(C)(C)C)cc1C.[Fe+2].c1cc[cH-]c1,C38H52FeO2P2
122,J034-1,C[C@H](c1c[cH-]c([Si](C)(C)C)c1P(C1CCCCC1)C1CCCCC1)P(c1ccccc1)c1ccccc1.[Fe+2].c1cc[cH-]c1,C39H52FeP2Si
