pool_size,num_meet,num_redun,frac_top,final_size,target_metric,tie_threshold,tiebreak_round,num_top,accuracy,coop_accuracy,mean_rank,stdev_rank,num_pools
10,2,1,1.0,2,output,0.1,True,15,0.0,0.0,90.7,164.20015225327896,106.29
9,2,1,1.0,2,output,0.1,True,15,0.0,0.0,141.9,279.8658428604677,109.16
8,2,1,1.0,2,output,0.1,True,15,0.0,0.0,125.87,211.69920429704027,129.32
10,2,2,1.0,2,output,0.1,True,15,0.0,0.0,64.45,183.30397567974347,142.38
7,2,1,1.0,2,output,0.1,True,15,0.0,0.0,106.94,248.66832608919054,154.75
9,2,2,1.0,2,output,0.1,True,15,0.0,0.0,35.07,77.35480010962475,164.05
10,2,1,1.0,2,coop,0.1,True,15,0.0,0.11,54816.3,7153.0555897462455,180.17
8,2,1,1.0,2,coop,0.1,True,15,0.0,0.14,54075.19,7208.7894999021855,180.5
9,2,1,1.0,2,coop,0.1,True,15,0.0,0.11,53327.32,9424.105371736885,181.71
7,2,1,1.0,2,coop,0.1,True,15,0.0,0.11,54551.63,7882.028739677368,195.24
6,2,1,1.0,2,output,0.1,True,15,0.0,0.0,52.26,122.616281137539,197.94
10,2,3,1.0,2,output,0.1,True,15,0.0,0.0,29.85,75.67184086567472,203.13
8,2,2,1.0,2,output,0.1,True,15,0.0,0.0,36.65,129.75132947295762,215.7
6,2,1,1.0,2,coop,0.1,True,15,0.0,0.16,51633.91,9651.025448204973,217.44
10,2,2,1.0,2,coop,0.1,True,15,0.0,0.12,54696.34,7487.370674969952,223.31
9,2,3,1.0,2,output,0.1,True,15,0.0,0.0,14.63,35.620402861281626,236.34
9,2,2,1.0,2,coop,0.1,True,15,0.0,0.09,55196.19,7851.928695161463,237.01
5,2,1,1.0,2,output,0.1,True,15,0.0,0.0,15.68,25.11727692246912,280.82
7,2,2,1.0,2,output,0.1,True,15,0.0,0.0,15.55,60.87550821143099,286.64
8,2,2,1.0,2,coop,0.1,True,15,0.0,0.13,55784.24,7490.298538936883,289.63
5,2,1,1.0,2,coop,0.1,True,15,0.0,0.21,53999.31,8620.32476034981,299.47
8,2,3,1.0,2,output,0.1,True,15,0.0,0.0,10.73,24.90094576517125,314.0
10,2,3,1.0,2,coop,0.1,True,15,0.0,0.11,56531.18,6484.130577617943,316.28
9,2,3,1.0,2,coop,0.1,True,15,0.0,0.18,54698.83,8067.170956481585,338.87
7,2,2,1.0,2,coop,0.1,True,15,0.0,0.2,54971.42,8218.668789019302,356.07
6,2,2,1.0,2,output,0.1,True,15,0.0,0.0,13.88,51.35528794583865,376.62
8,2,3,1.0,2,coop,0.1,True,15,0.0,0.3,52826.1,9198.908482532044,419.18
6,2,2,1.0,2,coop,0.1,True,15,0.0,0.29,53366.1,8942.227349491848,421.36
7,2,3,1.0,2,output,0.1,True,15,0.0,0.0,5.38,16.402304716106208,421.81
4,2,1,1.0,2,output,0.1,True,15,0.0,0.0,6.51,11.893271206863147,450.8
4,2,1,1.0,2,coop,0.1,True,15,0.0,0.24,54462.48,8577.088548546062,457.49
7,2,3,1.0,2,coop,0.1,True,15,0.0,0.28,53448.8,8965.753123971237,516.52
5,2,2,1.0,2,output,0.1,True,15,0.0,0.0,4.09,6.426655428759193,536.26
