pool_size,num_meet,num_redun,frac_top,final_size,target_metric,tie_threshold,tiebreak_round,num_top,accuracy,coop_accuracy,mean_rank,stdev_rank,num_pools
8,3,1,1.0,2,coop,0.1,True,15,0.02,0.02,59714.1,8572.789273626175,1850.03
10,3,2,1.0,2,coop,0.1,True,15,0.02,0.02,59912.86,8579.069342323794,1942.52
6,3,1,1.0,2,coop,0.1,True,15,0.02,0.02,60020.26,8582.868063322423,4189.03
10,3,3,1.0,2,coop,0.1,True,15,0.01,0.01,60626.53,6109.769849110522,2789.82
8,3,2,1.0,2,coop,0.1,True,15,0.01,0.01,60650.99,6113.223693756021,3519.74
7,3,2,1.0,2,coop,0.1,True,15,0.01,0.01,60528.34,6109.9272781597,5367.84
9,3,2,1.0,2,coop,0.1,True,15,0.0,0.0,61165.94,594.9172685340374,2694.78
9,3,3,1.0,2,coop,0.1,True,15,0.0,0.0,61275.82,443.2919214242461,3837.23
8,3,3,1.0,2,coop,0.1,True,15,0.0,0.0,61253.57,433.20653861639715,5025.2
5,3,1,1.0,2,coop,0.1,True,15,0.0,0.0,61205.71,470.4411609330118,7403.83
7,3,3,1.0,2,coop,0.1,True,15,0.0,0.0,61301.37,423.2107195003454,7750.04
6,3,2,1.0,2,coop,0.1,True,15,0.0,0.0,61199.23,476.3555784285516,8005.02
6,3,3,1.0,2,coop,0.1,True,15,0.0,0.0,61306.96,430.3688864218695,11660.75
5,3,2,1.0,2,coop,0.1,True,15,0.0,0.0,61304.74,400.12732023694656,14450.25
4,3,1,1.0,2,coop,0.1,True,15,0.0,0.0,61368.23,347.6522646265949,15790.64
5,3,3,1.0,2,coop,0.1,True,15,0.0,0.0,61360.37,388.76567891211795,21247.9
4,3,2,1.0,2,coop,0.1,True,15,0.0,0.0,61416.83,296.4533708696867,31292.29
4,3,3,1.0,2,coop,0.1,True,15,0.0,0.0,61428.46,303.8312169609963,46551.34
