pool_size,num_meet,num_redun,frac_top,final_size,target_metric,tie_threshold,tiebreak_round,num_top,accuracy,coop_accuracy,mean_rank,stdev_rank,num_pools
6,3,1,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,16.22
5,3,1,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,25.52
4,2,2,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,27.13
6,3,2,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,27.2
4,2,2,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,28.18
6,3,2,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,31.13
4,2,3,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,38.2
6,3,3,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,38.31
4,2,3,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,39.92
6,3,3,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,42.33
5,3,2,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,45.37
5,3,2,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,48.68
4,3,1,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,52.2
4,3,1,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,55.98
3,2,3,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,62.03
3,2,3,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,64.89
5,3,3,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,65.17
5,3,3,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,68.86
4,3,2,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,99.19
4,3,2,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,103.04
4,3,3,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,146.24
4,3,3,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,150.08
5,3,1,1.0,2,coop,0.1,True,5,0.99,0.99,0.2,1.9899748742132406,28.92
3,2,2,1.0,2,output,0.1,True,5,0.99,0.99,0.14,1.3929824119492678,43.2
3,2,2,1.0,2,coop,0.1,True,5,0.99,0.99,1.65,16.41729271225923,53.8
6,3,1,1.0,2,coop,0.1,True,5,0.97,0.97,5.26,32.62196192751135,20.74
6,2,3,1.0,2,output,0.1,True,5,0.97,0.97,0.39,2.248977545463716,23.31
5,2,3,1.0,2,output,0.1,True,5,0.97,0.97,0.39,2.248977545463716,26.14
8,3,3,1.0,2,output,0.1,True,5,0.96,0.96,0.81,4.073561095650831,20.53
5,2,3,1.0,2,coop,0.1,True,5,0.96,0.96,4.05,24.979741792100246,28.99
7,3,3,1.0,2,output,0.1,True,5,0.95,0.95,1.2,5.711392124517455,29.35
7,3,2,1.0,2,output,0.1,True,5,0.94,0.94,1.47,6.818291574874163,21.83
7,3,3,1.0,2,coop,0.1,True,5,0.94,0.94,7.83,35.32507749460714,34.7
6,2,3,1.0,2,coop,0.1,True,5,0.93,0.93,8.6,36.159369463529096,26.98
7,3,2,1.0,2,coop,0.1,True,5,0.91,0.91,8.47,34.76965774925028,27.25
8,3,2,1.0,2,output,0.1,True,5,0.9,0.9,2.59,9.325336455056192,15.81
7,3,1,1.0,2,output,0.1,True,5,0.9,0.9,4.4,15.604486534327231,16.51
8,3,3,1.0,2,coop,0.1,True,5,0.9,0.9,9.49,32.19829032728291,28.61
4,2,1,1.0,2,output,0.1,True,5,0.89,0.89,1.78,5.43429848278506,16.44
5,2,2,1.0,2,output,0.1,True,5,0.89,0.89,2.5,8.913472948295743,19.4
3,2,1,1.0,2,coop,0.1,True,5,0.89,0.89,6.33,24.718840992247184,57.31
3,2,1,1.0,2,output,0.1,True,5,0.88,0.88,1.43,3.924933120449316,25.06
6,2,2,1.0,2,output,0.1,True,5,0.86,0.86,2.5,6.868041933477111,17.51
7,3,1,1.0,2,coop,0.1,True,5,0.85,0.85,13.82,39.76188627316365,19.45
5,2,2,1.0,2,coop,0.1,True,5,0.85,0.85,14.1,38.2064130742471,21.95
8,3,2,1.0,2,coop,0.1,True,5,0.85,0.85,15.94,47.08584075919214,22.52
8,2,3,1.0,2,output,0.1,True,5,0.84,0.84,3.9,10.932977636490435,14.69
7,2,3,1.0,2,output,0.1,True,5,0.84,0.84,3.37,9.163683757092452,17.53
7,2,3,1.0,2,coop,0.1,True,5,0.84,0.84,17.06,46.70799075104815,21.76
4,2,1,1.0,2,coop,0.1,True,5,0.79,0.79,10.91,29.17879195580242,19.82
8,2,2,1.0,2,coop,0.1,True,5,0.78,0.78,19.12,45.88905751919514,17.8
8,2,2,1.0,2,output,0.1,True,5,0.76,0.76,5.27,11.613660060463282,12.07
6,2,2,1.0,2,coop,0.1,True,5,0.76,0.76,21.21,48.54426742675184,20.66
8,2,3,1.0,2,coop,0.1,True,5,0.76,0.76,26.86,59.65551441400871,21.22
8,3,1,1.0,2,output,0.1,True,5,0.71,0.71,6.83,14.16760741974452,12.65
7,2,2,1.0,2,output,0.1,True,5,0.71,0.71,5.11,9.675634346129458,14.04
7,2,2,1.0,2,coop,0.1,True,5,0.71,0.71,25.0,53.842362503887216,17.98
5,2,1,1.0,2,output,0.1,True,5,0.7,0.7,5.43,9.097532632532845,13.94
7,2,1,1.0,2,output,0.1,True,5,0.68,0.68,5.59,9.197929114751863,16.33
6,2,1,1.0,2,output,0.1,True,5,0.66,0.66,6.56,11.360739412555859,13.74
5,2,1,1.0,2,coop,0.1,True,5,0.65,0.65,24.41,44.30148868830482,16.29
7,2,1,1.0,2,coop,0.1,True,5,0.62,0.62,30.23,54.350502297586914,17.88
8,3,1,1.0,2,coop,0.1,True,5,0.58,0.58,35.48,58.353831065320804,17.9
6,2,1,1.0,2,coop,0.1,True,5,0.55,0.55,39.59,64.62338508620545,16.17
8,2,1,1.0,2,output,0.1,True,5,0.54,0.54,8.72,12.1260710867123,12.18
8,2,1,1.0,2,coop,0.1,True,5,0.53,0.53,36.22,57.24309215966586,16.84
