pool_size,num_meet,num_redun,frac_top,final_size,target_metric,tie_threshold,tiebreak_round,num_top,accuracy,coop_accuracy,mean_rank,stdev_rank,num_pools
8,3,2,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,15.74
6,3,1,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,16.3
4,2,1,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,19.9
8,3,3,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,20.75
6,3,1,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,21.76
8,2,2,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,22.23
7,3,1,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,22.44
6,2,2,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,23.14
6,2,3,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,23.28
3,2,1,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,24.8
5,3,1,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,25.47
5,2,3,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,26.17
8,2,3,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,27.15
6,3,2,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,27.18
4,2,2,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,27.19
7,3,3,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,29.48
6,2,3,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,29.56
5,2,3,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,30.21
8,3,2,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,30.22
4,2,2,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,30.4
7,3,2,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,32.02
5,3,1,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,32.97
6,3,2,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,34.72
8,3,3,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,36.8
4,2,3,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,38.14
6,3,3,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,38.33
7,3,3,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,40.73
4,2,3,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,41.69
3,2,2,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,43.21
5,3,2,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,45.26
6,3,3,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,46.76
5,3,2,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,52.12
4,3,1,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,52.17
3,2,2,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,53.25
3,2,1,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,57.72
4,3,1,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,59.95
3,2,3,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,62.18
5,3,3,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,65.26
3,2,3,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,67.32
5,3,3,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,72.78
4,3,2,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,99.13
4,3,2,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,107.82
4,3,3,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,146.19
4,3,3,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,155.08
