pool_size,num_meet,num_redun,frac_top,final_size,target_metric,tie_threshold,tiebreak_round,num_top,accuracy,coop_accuracy,mean_rank,stdev_rank,num_pools
8,2,1,1.0,2,output,0.1,True,5,0.0,0.12,16.62,24.282413389117647,12.9
8,2,2,1.0,2,output,0.1,True,5,0.0,0.04,11.42,15.280170156120644,13.19
8,3,1,1.0,2,output,0.1,True,5,0.0,0.07,10.56,18.52906905378681,13.9
6,2,1,1.0,2,output,0.1,True,5,0.0,0.1,9.07,11.597633379271823,14.17
5,2,1,1.0,2,output,0.1,True,5,0.0,0.15,6.07,8.21371414160488,14.85
7,2,2,1.0,2,output,0.1,True,5,0.0,0.05,7.91,10.109495536375691,14.99
8,2,3,1.0,2,output,0.1,True,5,0.0,0.03,7.58,11.642319356554346,15.83
7,2,1,1.0,2,output,0.1,True,5,0.0,0.07,7.15,12.466254449512892,16.44
6,3,1,1.0,2,output,0.1,True,5,0.0,0.04,4.76,2.5772853935876023,16.74
8,3,2,1.0,2,output,0.1,True,5,0.0,0.01,5.75,2.977834783865619,17.07
4,2,1,1.0,2,output,0.1,True,5,0.0,0.09,4.1,3.6262928728937482,17.53
6,2,2,1.0,2,output,0.1,True,5,0.0,0.02,6.0,5.163332257370234,17.95
7,3,1,1.0,2,output,0.1,True,5,0.0,0.04,5.29,4.359575667424526,18.09
7,2,3,1.0,2,output,0.1,True,5,0.0,0.02,6.02,5.108776761613291,18.34
6,2,1,1.0,2,coop,0.1,True,5,0.0,0.49,71.84,80.41663012088979,18.51
8,2,1,1.0,2,coop,0.1,True,5,0.0,0.23,130.83,81.86025348116142,19.61
5,2,1,1.0,2,coop,0.1,True,5,0.0,0.65,48.19,66.98263879543713,19.65
5,2,2,1.0,2,output,0.1,True,5,0.0,0.04,4.38,3.2856658381521395,19.82
7,2,1,1.0,2,coop,0.1,True,5,0.0,0.41,98.58,85.15810942006638,21.61
4,2,1,1.0,2,coop,0.1,True,5,0.0,0.74,33.09,55.13457989320313,21.68
8,3,3,1.0,2,output,0.1,True,5,0.0,0.0,6.03,6.658010213269428,21.94
7,3,2,1.0,2,output,0.1,True,5,0.0,0.0,4.97,2.2559033667247363,22.8
7,2,2,1.0,2,coop,0.1,True,5,0.0,0.38,87.91,82.7200211557033,24.03
6,2,3,1.0,2,output,0.1,True,5,0.0,0.01,5.56,7.745088766437738,24.03
3,2,1,1.0,2,output,0.1,True,5,0.0,0.0,2.35,1.9306734576307822,24.85
5,3,1,1.0,2,output,0.1,True,5,0.0,0.03,3.62,2.208076085645601,25.89
5,2,3,1.0,2,output,0.1,True,5,0.0,0.01,3.86,2.7785607785326563,26.78
5,2,2,1.0,2,coop,0.1,True,5,0.0,0.66,55.28,76.35497102350311,26.82
8,3,1,1.0,2,coop,0.1,True,5,0.0,0.38,100.74,88.28936742326337,26.85
6,2,2,1.0,2,coop,0.1,True,5,0.0,0.53,68.51,79.25711261457865,27.05
6,3,1,1.0,2,coop,0.1,True,5,0.0,0.66,49.89,73.70181748098211,27.2
4,2,2,1.0,2,output,0.1,True,5,0.0,0.02,3.31,2.528616222363528,27.51
6,3,2,1.0,2,output,0.1,True,5,0.0,0.01,4.94,2.8664263465158144,27.72
7,3,1,1.0,2,coop,0.1,True,5,0.0,0.65,66.93,83.81267863515639,29.05
8,2,2,1.0,2,coop,0.1,True,5,0.0,0.4,85.52,80.99734316630392,29.19
7,3,3,1.0,2,output,0.1,True,5,0.0,0.0,5.05,2.547057125390006,30.37
7,2,3,1.0,2,coop,0.1,True,5,0.0,0.42,84.14,86.81820316039719,30.59
4,2,2,1.0,2,coop,0.1,True,5,0.0,0.81,29.7,51.53610384963149,33.24
8,2,3,1.0,2,coop,0.1,True,5,0.0,0.48,67.48,75.29906772331249,34.82
6,2,3,1.0,2,coop,0.1,True,5,0.0,0.67,50.14,70.14770416770601,34.92
5,2,3,1.0,2,coop,0.1,True,5,0.0,0.71,44.82,68.62206350730062,35.04
5,3,1,1.0,2,coop,0.1,True,5,0.0,0.93,18.27,37.93042446374678,35.23
8,3,2,1.0,2,coop,0.1,True,5,0.0,0.58,66.84,81.9002710618225,36.81
7,3,2,1.0,2,coop,0.1,True,5,0.0,0.57,49.86,68.19091141787152,37.31
4,2,3,1.0,2,output,0.1,True,5,0.0,0.0,2.75,2.021756661915573,38.42
6,3,3,1.0,2,output,0.1,True,5,0.0,0.0,4.38,1.4817557153593166,38.83
6,3,2,1.0,2,coop,0.1,True,5,0.0,0.78,38.25,66.5068981384638,41.66
3,2,2,1.0,2,output,0.1,True,5,0.0,0.0,2.09,1.7949651807207851,43.44
4,2,3,1.0,2,coop,0.1,True,5,0.0,0.88,22.31,41.97873151966362,43.8
8,3,3,1.0,2,coop,0.1,True,5,0.0,0.67,46.33,71.14661692589465,45.46
5,3,2,1.0,2,output,0.1,True,5,0.0,0.0,3.45,1.9615045245933027,45.53
7,3,3,1.0,2,coop,0.1,True,5,0.0,0.6,40.73,60.73727932662115,48.22
4,3,1,1.0,2,output,0.1,True,5,0.0,0.0,1.24,0.9499473669630334,52.34
6,3,3,1.0,2,coop,0.1,True,5,0.0,0.85,31.05,58.25536455984118,56.18
5,3,2,1.0,2,coop,0.1,True,5,0.0,0.93,14.08,23.73549241115507,58.69
3,2,2,1.0,2,coop,0.1,True,5,0.0,0.95,10.83,10.031006928519194,61.47
3,2,3,1.0,2,output,0.1,True,5,0.0,0.0,1.68,1.502531197679436,62.27
4,3,1,1.0,2,coop,0.1,True,5,0.0,1.0,9.0,0.0,63.08
3,2,1,1.0,2,coop,0.1,True,5,0.0,0.89,17.4,33.25597690641488,64.34
5,3,3,1.0,2,output,0.1,True,5,0.0,0.0,3.2,1.98997487421324,65.57
3,2,3,1.0,2,coop,0.1,True,5,0.0,0.98,13.22,29.539999999999996,71.18
5,3,3,1.0,2,coop,0.1,True,5,0.0,0.97,12.34,22.84391385030157,81.06
4,3,2,1.0,2,output,0.1,True,5,0.0,0.0,1.04,0.39799497484264795,99.29
4,3,2,1.0,2,coop,0.1,True,5,0.0,1.0,9.0,0.0,113.96
4,3,3,1.0,2,output,0.1,True,5,0.0,0.0,1.04,0.39799497484264795,146.44
4,3,3,1.0,2,coop,0.1,True,5,0.0,1.0,9.0,0.0,162.74
