pool_size,num_meet,num_redun,frac_top,final_size,target_metric,tie_threshold,tiebreak_round,num_top,accuracy,coop_accuracy,mean_rank,stdev_rank,num_pools
8,2,2,1.0,2,output,0.1,True,5,0.0,0.16,65.28,34.88297005703499,12.61
8,2,1,1.0,2,output,0.1,True,5,0.0,0.18,61.8,36.067714094464044,12.72
8,3,1,1.0,2,output,0.1,True,5,0.0,0.15,66.53,32.07474239958912,13.51
5,2,1,1.0,2,output,0.1,True,5,0.0,0.3,55.12,35.10677427505979,14.07
6,2,1,1.0,2,output,0.1,True,5,0.0,0.31,57.82,39.591256610519444,14.12
7,2,2,1.0,2,output,0.1,True,5,0.0,0.21,65.94,41.839890057216934,14.63
8,2,3,1.0,2,output,0.1,True,5,0.0,0.08,72.12,28.97767416477727,15.43
6,3,1,1.0,2,output,0.1,True,5,0.0,0.17,61.19,32.29603536039679,16.54
7,2,1,1.0,2,output,0.1,True,5,0.0,0.32,54.74,33.027751967095796,16.69
8,3,2,1.0,2,output,0.1,True,5,0.0,0.15,71.69,26.220104881559877,16.86
4,2,1,1.0,2,output,0.1,True,5,0.0,0.41,50.27,33.822139199051264,17.24
6,2,2,1.0,2,output,0.1,True,5,0.0,0.22,62.79,33.438090555532625,17.77
7,3,1,1.0,2,output,0.1,True,5,0.0,0.26,62.68,30.92567865059715,17.88
7,2,3,1.0,2,output,0.1,True,5,0.0,0.18,68.26,36.787666411448285,17.91
5,2,2,1.0,2,output,0.1,True,5,0.0,0.32,59.22,38.75269797059297,19.66
5,2,1,1.0,2,coop,0.1,True,5,0.0,0.28,62.54,55.542311799204036,21.13
8,3,3,1.0,2,output,0.1,True,5,0.0,0.11,74.53,24.896367204875492,21.53
6,2,1,1.0,2,coop,0.1,True,5,0.0,0.38,76.46,66.29832878738348,21.6
7,3,2,1.0,2,output,0.1,True,5,0.0,0.18,66.7,29.561292258627667,22.5
6,2,3,1.0,2,output,0.1,True,5,0.0,0.2,63.22,33.22787384109913,23.52
3,2,1,1.0,2,output,0.1,True,5,0.0,0.77,32.5,27.553765622869047,25.08
5,3,1,1.0,2,output,0.1,True,5,0.0,0.5,46.15,32.77724057940205,25.71
5,2,3,1.0,2,output,0.1,True,5,0.0,0.37,54.42,33.582191709297355,26.36
5,2,2,1.0,2,coop,0.1,True,5,0.0,0.47,72.41,68.68261716038491,26.41
7,2,1,1.0,2,coop,0.1,True,5,0.0,0.31,73.76,58.92115409596116,27.01
4,2,2,1.0,2,output,0.1,True,5,0.0,0.43,51.44,33.03401882907982,27.43
6,3,2,1.0,2,output,0.1,True,5,0.0,0.26,62.88,32.859786974355146,27.63
6,3,1,1.0,2,coop,0.1,True,5,0.0,0.39,75.77,68.92123838121309,28.25
4,2,1,1.0,2,coop,0.1,True,5,0.0,0.41,63.91,56.24217189974085,28.69
6,2,2,1.0,2,coop,0.1,True,5,0.0,0.42,83.41,73.33186142462225,29.36
8,2,1,1.0,2,coop,0.1,True,5,0.0,0.22,78.09,61.80891440560981,29.62
7,2,2,1.0,2,coop,0.1,True,5,0.0,0.36,82.8,72.68204730193007,29.88
7,3,3,1.0,2,output,0.1,True,5,0.0,0.21,67.2,28.374636561549117,30.23
7,3,1,1.0,2,coop,0.1,True,5,0.0,0.34,72.12,63.02956131847976,33.36
8,3,1,1.0,2,coop,0.1,True,5,0.0,0.28,74.87,65.93021386284137,35.17
7,2,3,1.0,2,coop,0.1,True,5,0.0,0.41,90.52,77.86276131759007,35.29
5,2,3,1.0,2,coop,0.1,True,5,0.0,0.59,61.45,65.35875993315663,35.76
4,2,2,1.0,2,coop,0.1,True,5,0.0,0.66,42.03,42.315589325921,36.61
5,3,1,1.0,2,coop,0.1,True,5,0.0,0.83,35.21,43.17089181381362,36.67
8,2,2,1.0,2,coop,0.1,True,5,0.0,0.31,80.6,67.49503685457177,36.85
6,2,3,1.0,2,coop,0.1,True,5,0.0,0.5,74.95,73.44731104676332,37.63
4,2,3,1.0,2,output,0.1,True,5,0.0,0.47,50.31,34.593552867550336,38.25
6,3,3,1.0,2,output,0.1,True,5,0.0,0.2,69.54,26.833344927533727,38.64
6,3,2,1.0,2,coop,0.1,True,5,0.0,0.51,74.71,70.56561414740185,43.31
3,2,2,1.0,2,output,0.1,True,5,0.0,0.74,34.3,28.45259214904681,43.4
8,2,3,1.0,2,coop,0.1,True,5,0.0,0.31,91.65,70.23836202532061,44.12
7,3,2,1.0,2,coop,0.1,True,5,0.0,0.43,70.24,63.55943989683987,44.68
5,3,2,1.0,2,output,0.1,True,5,0.0,0.52,48.47,32.52643693981866,45.43
8,3,2,1.0,2,coop,0.1,True,5,0.0,0.36,73.61,60.68655452404594,45.52
4,2,3,1.0,2,coop,0.1,True,5,0.0,0.73,40.78,49.274654742575315,47.04
4,3,1,1.0,2,output,0.1,True,5,0.0,0.82,29.7,24.97218452598811,52.29
7,3,3,1.0,2,coop,0.1,True,5,0.0,0.46,71.38,65.70871783865516,52.77
8,3,3,1.0,2,coop,0.1,True,5,0.0,0.47,79.23,73.88827444188962,53.98
6,3,3,1.0,2,coop,0.1,True,5,0.0,0.67,54.22,60.98287956467782,56.96
5,3,2,1.0,2,coop,0.1,True,5,0.0,0.88,32.93,43.91679746976094,59.38
3,2,1,1.0,2,coop,0.1,True,5,0.0,0.72,36.75,37.57642212877644,60.09
3,2,2,1.0,2,coop,0.1,True,5,0.0,0.78,28.69,26.715050065459366,60.15
3,2,3,1.0,2,output,0.1,True,5,0.0,0.89,25.16,20.36650190877167,62.31
5,3,3,1.0,2,output,0.1,True,5,0.0,0.5,49.04,32.646567966633185,65.51
4,3,1,1.0,2,coop,0.1,True,5,0.0,0.98,20.4,20.097761069333075,66.18
3,2,3,1.0,2,coop,0.1,True,5,0.0,0.71,33.36,29.34059304104128,73.81
5,3,3,1.0,2,coop,0.1,True,5,0.0,0.92,27.03,34.71698575625482,81.47
4,3,2,1.0,2,output,0.1,True,5,0.0,0.89,25.15,20.337834201310617,99.33
4,3,2,1.0,2,coop,0.1,True,5,0.0,1.0,18.0,0.0,116.38
4,3,3,1.0,2,output,0.1,True,5,0.0,0.96,20.6,12.737346662472527,146.31
4,3,3,1.0,2,coop,0.1,True,5,0.0,1.0,18.0,0.0,164.87
