pool_size,num_meet,num_redun,frac_top,final_size,target_metric,tie_threshold,tiebreak_round,num_top,accuracy,coop_accuracy,mean_rank,stdev_rank,num_pools
4,2,1,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,17.04
8,3,1,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,22.97
5,2,2,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,24.18
7,2,2,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,24.98
6,3,1,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,25.33
5,3,1,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,25.54
6,2,2,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,26.34
7,3,1,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,27.09
8,2,2,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,27.59
7,2,3,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,30.22
4,2,2,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,30.48
5,2,3,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,33.07
6,2,3,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,33.53
8,2,3,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,34.22
8,3,2,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,35.44
7,3,2,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,36.33
6,3,3,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,38.42
5,3,1,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,39.02
6,3,2,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,39.9
4,2,3,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,43.09
3,2,2,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,43.22
8,3,3,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,43.34
5,3,2,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,45.29
7,3,3,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,45.35
3,2,2,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,48.66
4,3,1,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,52.15
6,3,3,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,52.52
5,3,2,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,59.3
3,2,1,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,61.88
3,2,3,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,62.12
5,3,3,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,65.2
3,2,3,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,65.66
4,3,1,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,66.29
5,3,3,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,79.46
4,3,2,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,99.18
4,3,2,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,113.28
4,3,3,1.0,2,output,0.1,True,5,1.0,1.0,0.0,0.0,146.31
4,3,3,1.0,2,coop,0.1,True,5,1.0,1.0,0.0,0.0,160.89
6,3,2,1.0,2,output,0.1,True,5,0.99,0.99,0.05,0.49749371855331004,27.4
5,2,1,1.0,2,coop,0.1,True,5,0.98,0.98,3.35,23.869384156278525,14.76
7,2,1,1.0,2,coop,0.1,True,5,0.98,0.98,1.02,7.278708676681599,20.94
6,2,1,1.0,2,coop,0.1,True,5,0.96,0.96,6.32,32.593520828532775,16.66
4,2,3,1.0,2,output,0.1,True,5,0.95,0.95,0.2,0.8717797887081347,38.27
8,2,1,1.0,2,coop,0.1,True,5,0.94,0.94,4.22,20.61144342349657,20.09
6,3,1,1.0,2,output,0.1,True,5,0.93,0.93,0.52,2.414456460572441,16.47
5,2,3,1.0,2,output,0.1,True,5,0.92,0.92,0.37,1.2621806526801145,26.35
4,2,2,1.0,2,output,0.1,True,5,0.92,0.92,0.34,1.1594826432508596,27.24
7,3,3,1.0,2,output,0.1,True,5,0.92,0.92,0.43,1.5827507700203467,29.75
8,3,3,1.0,2,output,0.1,True,5,0.91,0.91,0.51,1.7175272923595717,21.0
7,2,3,1.0,2,output,0.1,True,5,0.89,0.89,1.62,7.155110062046564,17.77
6,2,3,1.0,2,output,0.1,True,5,0.87,0.87,0.68,1.8648324321504064,23.5
3,2,1,1.0,2,output,0.1,True,5,0.86,0.86,0.66,1.7675972391922319,24.82
8,3,2,1.0,2,output,0.1,True,5,0.85,0.85,1.41,5.403878236970186,16.13
7,3,1,1.0,2,output,0.1,True,5,0.82,0.82,0.83,1.7835638480301172,17.71
7,3,2,1.0,2,output,0.1,True,5,0.8,0.8,1.06,2.2926840166058646,22.12
8,2,3,1.0,2,output,0.1,True,5,0.77,0.77,2.14,7.398675557152104,14.92
7,2,2,1.0,2,output,0.1,True,5,0.75,0.75,2.61,7.589328033495457,14.59
5,2,2,1.0,2,output,0.1,True,5,0.75,0.75,1.78,5.417711694064201,19.5
8,3,1,1.0,2,output,0.1,True,5,0.74,0.74,1.79,4.038056463201078,13.02
6,2,2,1.0,2,output,0.1,True,5,0.73,0.73,2.28,7.0428403361144,17.63
7,2,1,1.0,2,output,0.1,True,5,0.7,0.7,1.95,3.779880950506246,16.8
4,2,1,1.0,2,output,0.1,True,5,0.67,0.67,1.78,3.72177377066366,17.33
6,2,1,1.0,2,output,0.1,True,5,0.64,0.64,2.94,6.373099716778327,14.31
8,2,2,1.0,2,output,0.1,True,5,0.63,0.63,3.74,9.454755417249036,12.52
5,2,1,1.0,2,output,0.1,True,5,0.57,0.57,2.88,5.76416516071495,14.13
8,2,1,1.0,2,output,0.1,True,5,0.43,0.43,5.98,9.408485531688932,12.45
