Combi,k_eff
"(2, 10)",29.553988207203325
"(2, 4, 10)",24.279209083867016
"(2, 8, 10)",24.082531964792334
"(2, 9, 10)",23.277053005217216
"(2, 5, 10)",22.413818079034776
"(2, 7, 10)",21.839906946402333
"(2, 3, 10)",21.818156176563274
"(0, 2, 10)",21.642104971744104
"(2, 6, 10)",20.814264158073314
"(10,)",19.784582654621282
"(4, 10)",16.817988988289333
"(8, 10)",16.52297330967731
"(4, 8, 10)",15.632447313770667
"(9, 10)",15.314754870314632
"(4, 9, 10)",14.826968354195548
"(8, 9, 10)",14.630291235120866
"(5, 10)",14.019902481040969
"(4,)",13.851395321957384
"(5, 8, 10)",13.767056308938425
"(4, 8)",13.55637964334536
"(4, 7, 10)",13.389822295380668
"(3, 4, 10)",13.368071525541605
"(8,)",13.261363964733338
"(7, 8, 10)",13.193145176305986
"(0, 4, 10)",13.192020320722435
"(3, 8, 10)",13.171394406466923
"(7, 10)",13.15903578209231
"(3, 10)",13.126409627333718
"(0, 8, 10)",12.995343201647753
"(5, 9, 10)",12.961577349363306
"(0, 10)",12.86233282010496
"(4, 8, 9)",12.652562124232901
"(7, 9, 10)",12.387666216730867
"(3, 9, 10)",12.365915446891805
"(4, 6, 10)",12.364179507051645
"(4, 9)",12.348161203982682
"(0, 9, 10)",12.189864242072634
"(6, 8, 10)",12.167502387976963
"(8, 9)",12.05314552537066
"(6, 10)",11.620571599598776
"(5, 7, 10)",11.524431290548424
"(3, 5, 10)",11.502680520709363
"(6, 9, 10)",11.362023428401844
"(4, 7, 8)",11.215416065418019
"(1, 4, 10)",11.211992658859554
"(3, 4, 8)",11.193665295578956
"(0, 4, 8)",11.017614090759785
"(1, 8, 10)",11.015315539784872
"(3, 7, 10)",10.928769388076924
"(9,)",10.844927086007981
"(5, 8, 9)",10.787171119400657
"(5, 8)",10.758293136096999
"(0, 7, 10)",10.752718183257752
"(0, 3, 10)",10.730967413418693
"(5, 6, 10)",10.498788502219403
"(4, 7, 9)",10.4099371058429
"(3, 4, 9)",10.388186336003837
"(7, 8, 9)",10.213259986768218
"(0, 4, 9)",10.212135131184667
"(1, 9, 10)",10.209836580209753
"(4, 7)",10.192442115760361
"(3, 8, 9)",10.191509216929155
"(4, 6, 8)",10.189773277088996
"(3, 4)",10.159815961001769
"(0, 8, 9)",10.015458012109985
"(6, 7, 10)",9.924877369586962
"(3, 6, 10)",9.903126599747903
"(7, 8)",9.897426437148338
"(0, 4)",9.895739153773011
"(1, 10)",9.892291327310641
"(3, 8)",9.864800282389746
"(0, 8)",9.60072347516099
"(5, 9)",9.55007469673432
"(4, 6, 9)",9.384294317513877
"(5, 7, 8)",9.350025060585777
"(1, 5, 10)",9.346601654027314
"(3, 5, 8)",9.328274290746716
"(6, 8, 9)",9.187617198439195
"(1, 4, 8)",9.037586428896907
"(2, 4, 8)",9.037586428896907
"(3, 4, 7)",8.951040277188957
"(0, 4, 7)",8.774989072369786
"(3, 7, 8)",8.754363158114277
"(0, 3, 4)",8.753238302530725
"(1, 3, 10)",8.750939751555812
"(7, 9)",8.68920799778566
"(3, 9)",8.656581843027068
"(4, 6)",8.653977933266827
"(0, 7, 8)",8.578311953295104
"(0, 1, 10)",8.574888546736641
"(0, 3, 8)",8.556561183456044
"(5, 7, 9)",8.544546101010658
"(3, 5, 9)",8.522795331171597
"(0, 9)",8.392505035798312
"(6, 8)",8.358962254654806
"(5, 6, 8)",8.324382272256756
"(5,)",8.255222307460658
"(1, 4, 9)",8.232107469321788
"(2, 4, 9)",8.232107469321788
"(1, 8, 9)",8.035430350247106
"(2, 8, 9)",8.035430350247106
"(3, 7, 9)",7.948884198539157
"(4, 6, 7)",7.947148258698997
"(3, 4, 6)",7.925397488859935
"(0, 7, 9)",7.772832993719986
"(0, 3, 9)",7.751082223880925
"(6, 7, 8)",7.750471139624315
"(1, 6, 10)",7.747047733065851
"(3, 6, 8)",7.728720369785254
"(5, 6, 9)",7.518903312681636
"(5, 7)",7.394355608511997
"(3, 5)",7.361729453753405
"(0, 6, 10)",7.18641338652493
"(1, 5, 8)",7.172195424064665
"(2, 5, 8)",7.172195424064665
"(6, 9)",7.1507438152921265
"(3, 5, 7)",7.085649272356715
"(1, 2, 10)",7.035610271815589
"(6, 7, 9)",6.944992180049196
"(1, 4)",6.925697660978692
"(2, 4)",6.925697660978692
"(3, 6, 9)",6.923241410210135
"(4, 5, 10)",6.863153773816195
"(1, 7, 10)",6.825761871018297
"(2, 4, 7)",6.7949614105069065
"(1, 3, 4)",6.773210640667845
"(2, 3, 4)",6.773210640667845
"(0, 5, 10)",6.720100016980905
"(1, 8)",6.630681982366669
"(2, 8)",6.630681982366669
"(2, 7, 8)",6.598284291432225
"(0, 1, 4)",6.597159435848674
"(0, 2, 4)",6.597159435848674
"(1, 3, 8)",6.576533521593163
"(2, 3, 8)",6.576533521593163
"(7,)",6.533488909563338
"(3, 7)",6.5008627548047455
"(3,)",6.468236600046153
"(0, 1, 8)",6.400482316773992
"(0, 2, 8)",6.400482316773992
"(1, 5, 9)",6.366716464489546
"(2, 5, 9)",6.366716464489546
"(0, 3, 7)",6.3139361650660435
"(0, 7)",6.236785947575989
"(0, 3)",6.204159792817396
"(5, 6, 7)",6.081757253866755
"(3, 5, 6)",6.060006484027693
"(0,)",5.94008298558864
"(5, 6)",5.855891426018465
"(2, 7, 9)",5.792805331857106
"(1, 3, 9)",5.771054562018044
"(2, 3, 9)",5.771054562018044
"(1, 4, 6)",5.7693186221778845
"(2, 4, 6)",5.7693186221778845
"(0, 1, 9)",5.595003357198873
"(0, 2, 9)",5.595003357198873
"(1, 6, 8)",5.572641503103203
"(2, 6, 8)",5.572641503103203
"(3, 6, 7)",5.486095351395254
"(1, 9)",5.422463543003991
"(2, 9)",5.422463543003991
"(0, 4, 6)",5.208684275636965
"(0, 6, 8)",5.012007156562282
"(6, 7)",4.995024727069804
"(3, 6)",4.962398572311212
"(2, 5, 7)",4.9295704056746645
"(1, 3, 5)",4.907819635835603
"(2, 3, 5)",4.907819635835603
