Combi,k_eff
"(1, 5)",40.382926252948515
"(1, 3, 5)",35.22917304282802
"(1, 5, 10)",34.9801240397929
"(1, 5, 6)",34.43993694747769
"(1, 5, 8)",32.9560018513418
"(0, 1, 5)",32.15296231236158
"(1, 5, 9)",31.17422737855351
"(1, 5, 7)",29.283513575452623
"(5,)",29.09010343990427
"(1, 2, 5)",27.663212497057913
"(3, 5)",27.068202677014817
"(1, 4, 5)",26.880405738119567
"(5, 10)",26.694629172462136
"(3, 5, 10)",26.145186753016546
"(5, 6)",25.884348533989314
"(3, 5, 6)",25.60499966070133
"(5, 6, 10)",25.35595065766621
"(3,)",25.046301914125365
"(3, 10)",24.672728409572684
"(10,)",24.299154905020004
"(3, 5, 8)",24.121064564565447
"(3, 6, 10)",24.008016815739907
"(5, 8, 10)",23.872015561530326
"(3, 6)",23.862447771099863
"(5, 8)",23.65844588978549
"(6, 10)",23.48887426654718
"(0, 5, 10)",23.068976022550103
"(6,)",22.67859362807436
"(3, 8, 10)",22.524081719604027
"(0, 5)",22.453886581315153
"(3, 5, 9)",22.339290091777155
"(5, 9, 10)",22.090241088742033
"(3, 8)",21.63654512689604
"(5, 6, 9)",21.55005399642682
"(8, 10)",21.262971622343358
"(0, 5, 8)",21.044853834099005
"(5, 9)",20.985784180603048
"(3, 9, 10)",20.742307246815734
"(3, 5, 7)",20.448576288676264
"(1, 3, 10)",20.254694437824554
"(3, 6, 9)",20.20212015450052
"(5, 7, 10)",20.199527285641146
"(5, 8, 9)",20.066118900290935
"(0, 10)",20.05841231387302
"(6, 9, 10)",19.953071151465398
"(1, 3, 6)",19.71450734550934
"(5, 6, 7)",19.65934019332593
"(1, 6, 10)",19.46545834247422
"(0, 8, 10)",19.447870989137584
"(0, 5, 9)",19.263079361310712
"(3, 9)",18.963883417713596
"(3, 7, 10)",18.851593443714844
"(2, 3, 5)",18.828275210281557
"(3, 8, 9)",18.718185058364632
"(9, 10)",18.590309913160915
"(8, 9, 10)",18.469136055329514
"(3, 6, 7)",18.31140635139963
"(1, 3)",18.23246420422683
"(1, 3, 8)",18.230572249373456
"(8,)",18.226788339666708
"(5, 7, 8)",18.175405097190044
"(5, 7)",18.149713475951717
"(6, 7, 10)",18.062357348364507
"(3, 4, 5)",18.04546845134321
"(2, 5, 6)",18.03903911493122
"(1, 8, 10)",17.981523246338334
"(1, 10)",17.85889069967415
"(4, 5, 10)",17.79641944830809
"(6, 9)",17.780029274688097
"(0, 9, 10)",17.666096516349292
"(0, 5, 7)",17.37236555820982
"(4, 5, 6)",17.256232355992875
"(0, 1, 10)",17.17848370735811
"(1, 6)",17.048610061201327
"(0, 8)",17.022229031196375
"(3, 7, 8)",16.827471255263745
"(2, 3, 6)",16.691105273004922
"(7, 8, 10)",16.578422252228627
"(2, 5, 8)",16.55510401879534
"(1, 3, 9)",16.448797776585163
"(3, 4, 10)",16.448485606381787
"(1, 9, 10)",16.19974877355004
"(3, 7)",16.127812713062266
"(3, 4, 6)",15.908298514066574
"(0,)",15.81766972272604
"(0, 7, 10)",15.775382713248401
"(4, 5, 8)",15.772297259856991
"(7, 10)",15.754239208509585
"(0, 2, 5)",15.752064479815115
"(2, 5)",15.719261858359655
"(1, 6, 9)",15.659561681234829
"(4, 6, 10)",15.659249511031454
"(0, 8, 9)",15.641974327898193
"(8, 9)",15.55412663048427
"(2, 3, 8)",15.207170176869038
"(0, 1, 8)",15.154361518907013
"(0, 4, 5)",14.969257720876769
"(6, 7)",14.943958570036763
"(1, 8)",14.822707416997503
"(2, 5, 9)",14.773329546007046
"(1, 3, 7)",14.558083973484274
"(4, 5)",14.545051719952134
"(3, 4, 8)",14.42436341793069
"(0, 9)",14.349567322013936
"(1, 7, 10)",14.309034970449154
"(1, 8, 9)",14.175626585098945
"(4, 8, 10)",14.17531441489557
"(4, 5, 9)",13.990522787068699
"(1, 6, 7)",13.76884787813394
"(5, 6, 8)",13.764509062641821
"(0, 7, 8)",13.751260524797303
"(2, 3)",13.697361095470203
"(0, 1)",13.618148108527167
"(2, 3, 9)",13.425395704080746
"(0, 1, 9)",13.37258704611872
"(0, 4, 10)",13.372274875915348
"(1, 2, 3)",12.937782895089565
"(2, 5, 7)",12.882615742906157
"(9,)",12.88146492130183
"(7, 8)",12.718055925832937
"(3, 4, 9)",12.642588945142398
"(2, 6, 9)",12.636159608730411
"(3, 4)",12.523150957062683
"(2, 6)",12.5135069524447
"(3, 6, 8)",12.41657522071552
"(4, 9, 10)",12.393539942107278
"(1, 7, 8)",12.284912781998056
"(6, 8, 10)",12.1675262176804
"(1, 3, 4)",12.15497613615122
"(1, 9)",12.150045707815064
"(4, 10)",12.149577452510002
"(1, 2, 6)",12.148546799739233
"(0, 2, 8)",12.130959446402596
"(4, 5, 7)",12.09980898396781
"(0, 5, 6)",12.02347928306375
"(1, 4, 10)",11.9059271331161
"(4, 6, 9)",11.853352849792063
"(2, 3, 7)",11.534681900979857
"(0, 7)",11.513496617362602
"(0, 1, 7)",11.481873243017832
"(1,)",11.418626494328295
"(2, 5, 10)",11.40655575600619
"(1, 4, 6)",11.365740040800885
"(0, 4, 8)",11.34815268746425
"(4, 6)",11.33929681403718
"(2, 8, 9)",11.152224512594525
"(0, 3, 5)",10.966602515354595
"(5, 7, 9)",10.902518466536643
"(3, 4, 7)",10.75187514204151
"(2, 6, 7)",10.745445805629522
"(1, 2, 8)",10.664611703603349
"(4, 7, 10)",10.50282613900639
"(2, 4, 5)",10.479507905573103
"(0, 6, 10)",10.426496438102328
"(4, 8, 9)",10.36941775365618
"(0, 2, 9)",10.349184973614303
"(2, 8)",10.287604308240875
"(2, 3, 10)",10.05862191407989
"(4, 6, 7)",9.962639046691175
"(1, 4, 8)",9.881804944665001
"(0, 1, 2)",9.861572164623125
"(0, 3, 6)",9.743917720563879
"(0, 4, 9)",9.566378214675957
"(3, 7, 9)",9.554584624610342
"(0, 3, 10)",9.369619670393174
"(1, 7)",9.31397500316373
"(7, 9, 10)",9.305535621575222
"(2, 6, 10)",9.269385818729555
"(2, 7, 8)",9.261510709493638
"(2, 3, 4)",9.131574063646802
"(4, 8)",9.113394169833354
"(0, 2)",9.08304499977054
"(0, 1, 4)",9.078765405684777
"(1, 2, 9)",8.882837230815056
"(0, 6, 8)",8.863842121322834
"(6, 7, 9)",8.765348529260008
"(4, 7, 8)",8.47870395055529
"(0, 2, 7)",8.458471170513414
"(6, 8, 9)",8.36162955644101
"(2, 4, 6)",8.342337968296468
"(1, 4, 9)",8.100030471876709
"(0, 4)",7.90883486136302
"(1, 6, 8)",7.874016747449831
"(2, 8, 10)",7.785450722593671
"(0, 4, 7)",7.675664411575068
"(2, 9)",7.614942599058436
"(0, 3, 8)",7.345497481942076
"(7, 8, 9)",7.281413433124124
"(7,)",7.209323511999165
"(1, 2, 7)",6.992123427714167
"(0, 2, 10)",6.982411183613448
"(1, 2)",6.883523385571668
"(2, 4, 8)",6.858402872160583
"(0, 6, 9)",6.620599776862937
"(0, 7, 9)",6.478373894143901
"(6, 7, 8)",6.470915753340121
"(4, 9)",6.440732460650915
"(1, 4, 7)",6.20931666877582
"(0, 1, 6)",6.132986967871759
"(6, 8)",6.098125915799505
"(0, 2, 4)",6.05536333318036
"(2, 9, 10)",6.003676249805379
"(1, 4)",5.709313247164148
"(0, 3, 9)",5.563723009153784
"(1, 2, 10)",5.516063440814199
"(2, 4, 9)",5.07662839937229
"(0, 1, 3)",5.076110200162606
"(1, 7, 9)",5.012026151344652
"(2, 6, 8)",4.850614674945413
"(2, 7)",4.778871894407104
"(0, 6, 7)",4.729885973762048
"(1, 2, 4)",4.589015590381112
"(2, 7, 10)",4.112962446704489
"(4, 6, 8)",4.067807916007065
"(0, 3, 7)",3.6730092060528956
"(4, 7)",3.6046617559995826
"(0, 6)",3.4862296752490534
"(2, 4, 7)",3.1859145962714015
"(0, 2, 6)",3.1095848953673406
"(2, 10)",2.5620935020362863
"(2,)",2.348420276815041
"(0, 4, 6)",2.3267781364289934
"(0, 2, 3)",2.052708127658188
"(2, 7, 9)",1.988624078840234
"(0, 3)",1.9002225760980667
"(7, 9)",1.806667838183911
"(2, 4, 10)",1.7098546093714349
"(0, 3, 4)",1.2699013687198408
"(4, 7, 9)",1.2058173199018871
"(2, 4)",1.1742101384075205
"(4,)",0.0
