Combi,k_eff
"(3,)",18.695321651941683
"(1, 3)",16.957433397270435
"(3, 10)",16.421728339345655
"(9,)",16.415225652818208
"(3, 5)",16.351183493642694
"(1, 3, 10)",16.02100060709683
"(3, 5, 10)",15.616834004678335
"(9, 10)",15.281680339783918
"(1,)",15.219545142599191
"(5, 9)",15.211135494080956
"(5, 9, 10)",14.856802004970511
"(1, 10)",14.683840084674408
"(10,)",14.148135026749626
"(4, 9, 10)",14.105424668311322
"(4, 9)",14.084069489092172
"(5, 10)",14.077590181046665
"(4, 5, 9)",14.058394771176015
"(5,)",14.007045335343703
"(1, 3, 7)",13.945350663686892
"(1, 4, 10)",13.706864498238318
"(3, 8, 10)",13.664488573865931
"(3, 5, 8)",13.617458676730623
"(3, 7, 10)",13.588213958403703
"(3, 5, 7)",13.541184061268392
"(1, 4)",13.486229233982664
"(3, 8)",13.422665347424086
"(3, 7)",13.308253424230742
"(4, 5, 10)",13.302697895819822
"(4, 10)",12.950524176057883
"(8, 9, 10)",12.904456574158107
"(4, 5)",12.87997933035492
"(5, 8, 9)",12.857426677022799
"(7, 9, 10)",12.828181958695877
"(5, 7, 9)",12.781152061560569
"(1, 7, 10)",12.429621788622871
"(8, 9)",12.282617347862349
"(7, 9)",12.168205424669004
"(4, 8, 9)",12.106049340363612
"(5, 8, 10)",12.101729801666604
"(1, 2, 3)",12.087537454383519
"(4, 7, 9)",12.029774724901381
"(5, 7, 10)",12.025455186204375
"(4,)",11.752913325366137
"(2, 3, 10)",11.73040074910033
"(2, 3, 5)",11.683370851965023
"(1, 4, 7)",11.631214554828375
"(3, 7, 8)",11.58883863045599
"(1, 7)",11.570365169559496
"(4, 8, 10)",11.350352465007417
"(0, 1, 3)",11.30495559818029
"(1, 3, 6)",11.30495559818029
"(4, 5, 8)",11.30332256787211
"(4, 7, 10)",11.274077849545186
"(4, 5, 7)",11.22704795240988
"(8, 10)",11.149072034828057
"(5, 8)",11.078527189125095
"(7, 10)",11.034660111634714
"(2, 9, 10)",10.970368749392506
"(5, 7)",10.964115265931753
"(0, 3, 10)",10.947818892897102
"(3, 6, 10)",10.947818892897102
"(2, 5, 9)",10.9233388522572
"(0, 3, 5)",10.900788995761793
"(3, 5, 6)",10.900788995761793
