Combi,k_eff
"(2,)",32.02653792424003
"(2, 9)",27.945466558196646
"(2, 5)",27.18544288470225
"(2, 5, 9)",26.078426987185917
"(7,)",25.111180356958876
"(7, 9)",24.487787774556068
"(9,)",23.86439519215326
"(5, 7, 9)",23.7733077980922
"(5, 7)",23.727764101061673
"(5, 9)",23.104371518658866
"(0, 2, 9)",22.91100331458159
"(2, 10)",22.794623440847268
"(2, 5, 10)",22.644531575619666
"(0, 2)",22.434307375795754
"(0, 2, 5)",22.404320865585326
"(5,)",22.34434784516447
"(2, 3, 8)",21.615525610151067
"(2, 8, 9)",21.4060654587342
"(2, 3, 9)",21.35008416837219
"(2, 3, 5)",20.84340171937593
"(0, 7, 9)",20.60588412548787
"(5, 7, 10)",20.33941238652595
"(2, 8)",20.176900592024676
"(2, 4, 9)",20.129593893404977
"(0, 5, 7)",20.099201676491607
"(2, 3)",20.09292865648166
"(2, 6, 9)",19.895157815241745
"(0, 5, 9)",19.6836066215564
"(2, 4, 5)",19.622911444408714
"(0, 2, 10)",19.477107903015337
"(2, 5, 6)",19.38847536624548
"(7, 10)",19.33694465720669
"(3, 7, 8)",19.31040642105735
"(7, 8, 9)",19.100946269640485
"(3, 7, 9)",19.044964979278475
"(0, 7)",18.976628592155176
"(3, 8, 9)",18.89481136612215
"(1, 2, 9)",18.630311038797764
"(3, 5, 7)",18.53828253028221
"(0, 9)",18.35323600975237
"(2, 4)",18.262193244030836
"(1, 2, 5)",18.1236285898015
"(3, 5, 9)",18.122687475347007
"(2, 8, 10)",17.97217004716795
"(5, 10)",17.953528401309487
"(2, 3, 10)",17.91618875680594
"(2, 6)",17.910539126785988
"(0, 2, 8)",17.73195933713361
"(0, 5)",17.593212336257974
"(6, 7, 9)",17.590038626148026
"(0, 7, 10)",17.171988713921618
"(5, 6, 7)",17.083356177151764
"(4, 5, 9)",16.90219720037979
"(7, 8)",16.7192218083841
"(2, 4, 10)",16.695698481838722
"(5, 6, 9)",16.667761122216557
"(3, 7)",16.635249872841083
"(2, 6, 10)",16.46126240367549
"(0, 2, 4)",16.455487771804382
"(3, 8)",16.43538201122933
"(1, 7, 9)",16.325191849704044
"(0, 5, 10)",16.24971120999015
"(0, 2, 6)",16.22105169364115
"(8, 9)",16.09582922598129
"(1, 2)",16.013268962120016
"(3, 9)",16.011857290438275
"(1, 5, 7)",15.818509400707782
"(7, 8, 10)",15.667050858074234
"(3, 7, 10)",15.61106956771222
"(2, 7, 9)",15.467284269177513
"(3, 8, 10)",15.460915954555894
"(0, 7, 8)",15.42684014803989
"(1, 5, 9)",15.402914345772576
"(3, 5)",15.25183361694388
"(1, 2, 10)",15.19641562723151
"(0, 8, 9)",15.011245093104684
"(2, 5, 7)",14.96060182018125
"(0, 1, 2)",14.95620491719717
"(2, 4, 8)",14.950549915956994
"(2, 3, 4)",14.894568625594985
"(2, 6, 8)",14.716113837793763
"(3, 5, 10)",14.688792063780753
"(2, 3, 6)",14.660132547431754
"(6, 7)",14.45286034314541
"(4, 9)",14.18112187798745
"(6, 7, 10)",14.156143214581775
"(0, 6, 7)",13.915932504547433
"(6, 9)",13.829467760742602
"(0, 4, 9)",13.73477352777546
"(10,)",13.562708957454502
"(0, 6, 9)",13.500337449612228
"(4, 5, 10)",13.468301788813537
"(1, 2, 8)",13.451267061349782
"(2, 4, 6)",13.439642272464537
"(4, 5)",13.421098204493056
"(5, 6, 10)",13.233865710650306
"(0, 4, 5)",13.228091078779196
"(0, 10)",13.20239289240299
"(5, 6)",13.069444087248208
"(0, 5, 6)",12.993655000615963
"(1, 7, 10)",12.891296438137793
"(0,)",12.842076827351477
"(0, 1, 7)",12.65108572810345
"(1, 7)",12.555590178479438
"(3, 4, 8)",12.439295823344938
"(6, 7, 8)",12.410994648700047
"(3, 6, 7)",12.355013358338036
"(0, 1, 9)",12.235490673168245
"(4, 8, 9)",12.229835671928072
"(3, 6, 8)",12.204859745181707
"(1, 2, 4)",12.174795496020556
"(3, 4, 9)",12.173854381566063
"(0, 2, 3)",12.084468015786982
"(2, 7, 10)",12.03338885761126
"(6, 8, 9)",11.99539959376484
"(1, 5, 10)",11.969018934206325
"(1, 2, 6)",11.940359417857325
"(3, 6, 9)",11.939418303402832
"(1, 9)",11.93219759607663
"(0, 2, 7)",11.793178147576919
"(0, 1, 5)",11.728808224171981
"(3, 4, 5)",11.667171932569799
"(0, 8, 10)",11.577349681538433
"(3, 5, 6)",11.432735854406568
"(2, 5, 8)",11.36250424259917
"(2, 7)",11.26440592881529
"(1, 5)",11.172173922582235
"(1, 7, 8)",11.146147872256066
"(1, 2, 3)",11.016548159430581
"(8, 10)",10.94498610863191
"(2, 4, 7)",10.866029300078525
"(3, 10)",10.861014173088895
"(2, 9, 10)",10.741044010127917
"(1, 8, 9)",10.73055281732086
"(4, 6, 9)",10.718928028435615
"(0, 8)",10.584670043580399
"(0, 4, 10)",10.300878116209205
"(2, 7, 8)",10.288240291729533
"(2, 3, 7)",10.232259001367524
"(4, 5, 6)",10.212245579439351
"(0, 6, 10)",10.066442038045974
"(4, 7, 9)",10.014083512836297
"(0, 3, 7)",9.779348826693262
"(1, 6, 7)",9.635240228763607
"(4, 5, 7)",9.507401063840035
"(1, 4, 9)",9.454081251991633
"(0, 3, 9)",9.363753771758057
"(1, 6, 9)",9.219645173828402
"(5, 7, 8)",9.057385053505453
"(4, 10)",9.03027876063807
"(1, 4, 5)",8.94739880299537
"(0, 3, 5)",8.857071322761794
"(0, 1, 10)",8.801595261601992
"(4, 8, 10)",8.79594026036182
"(2, 6, 7)",8.777332648237076
"(3, 4, 10)",8.739958969999808
"(1, 5, 6)",8.712962724832138
"(1, 3, 7)",8.711428970336863
"(6, 10)",8.678624643393224
"(0, 4)",8.669962695586559
"(5, 8, 9)",8.64178999857025
"(6, 8, 10)",8.56150418219859
"(0, 4, 8)",8.555729550327477
"(3, 6, 10)",8.505522891836579
"(7, 9, 10)",8.435924821034199
"(8,)",8.32726325980932
"(0, 6, 8)",8.321293472164246
"(0, 6)",8.31830857834171
"(1, 3, 9)",8.295833915401657
"(3,)",8.159319388723288
"(1, 3, 5)",7.789151466405394
"(5, 9, 10)",7.513647317102732
"(1, 2, 7)",7.512485871793094
"(1, 8, 10)",7.2966574057546065
"(4, 6, 10)",7.285032616869362
"(0, 1, 8)",7.056446695720265
"(0, 4, 6)",7.04482190683502
"(1, 10)",6.781354478727251
"(4, 7, 10)",6.580188101270045
"(0, 1)",6.421038413675738
"(4, 8)",6.412555911815479
"(0, 4, 7)",6.339977391235704
"(3, 4)",6.328583976272464
"(6, 8)",6.060901794570633
"(1, 4, 10)",6.0201858404253805
"(3, 6)",5.976929859027617
"(0, 3, 10)",5.929858360191804
"(1, 6, 10)",5.785749762262149
"(0, 1, 4)",5.779975130391039
"(0, 1, 6)",5.545539052227808
"(4, 6, 8)",5.539884050987634
"(3, 4, 6)",5.483902760625623
"(5, 8, 10)",5.207894587003997
"(0, 5, 8)",4.967683876969655
"(1, 3, 10)",4.861938503835404
"(4, 7, 8)",4.835039535388318
"(3, 4, 7)",4.779058245026308
"(0, 3, 8)",4.551142119840197
"(4,)",4.4978485638216394
"(0, 9, 10)",4.346223644498401
"(1, 4, 8)",4.275037274543653
"(1, 8)",4.16363162990466
"(4, 6)",4.146194446576793
"(1, 6, 8)",4.040601196380422
"(3, 5, 8)",3.9021758376611277
"(6,)",3.794540329331946
"(1, 3, 8)",3.378192924227493
"(4, 6, 7)",3.3241318918958602
"(4, 7)",3.0860002349650113
"(0, 1, 3)",3.0123527361669584
"(0, 3, 4)",2.90823822898085
"(8, 9, 10)",2.8412857886510148
"(3, 9, 10)",2.7853044982890047
"(1, 4, 6)",2.764129631051195
"(0, 3, 6)",2.673802150817619
"(1, 4)",2.2489242819108197
"(4, 5, 8)",2.186274455793042
"(0, 3)",2.1113372894370492
"(1, 4, 7)",2.0592851154518783
"(5, 6, 8)",1.951838377629811
"(1, 6)",1.897270164665973
"(1, 3, 4)",1.8403183726244499
"(1, 3, 6)",1.6058822944612188
"(4, 9, 10)",1.564814223321788
"(6, 9, 10)",1.330378145158557
"(5, 8)",1.0269128531230638
"(1, 5, 8)",0.6869916011858291
"(1, 3)",0.5106616946183171
"(9, 10)",0.09364555674636615
"(1, 9, 10)",0.06553136871457507
"(1,)",0.0
