Combi,k_eff
"(6, 9)",44.59351443827509
"(2, 6, 9)",38.126625569863
"(6, 7, 9)",38.03304062283339
"(5, 6, 9)",35.377697736892614
"(6, 9, 10)",33.13508094623846
"(0, 6, 9)",32.940138432228096
"(6, 8, 9)",31.568218533141316
"(2,)",25.376546033125912
"(2, 7)",25.236168612581498
"(7,)",25.095791192037083
"(2, 4, 7)",24.92667533287736
"(2, 4)",24.842117403297504
"(4, 7)",24.70173998275309
"(4,)",24.307688773469096
"(2, 6, 7)",23.212242740231275
"(2, 5, 7)",22.53403325312592
"(2, 4, 5)",22.271332446936587
"(2, 6)",22.270468514328375
"(1, 2, 7)",22.21192029645421
"(4, 5, 7)",22.177747499906978
"(6, 7)",22.13009109378396
"(1, 2, 4)",21.94921949026488
"(1, 4, 7)",21.855634543235272
"(2, 5)",21.253154283670334
"(5, 7)",21.112776863125923
"(1, 2)",20.769984848662776
"(4, 5)",20.71872565384193
"(1, 7)",20.629607428118362
"(2, 5, 6)",20.556899854290503
"(5, 6, 7)",20.463314907260894
"(2, 7, 9)",20.386856456887557
"(2, 7, 10)",20.29141646247176
"(1, 4)",20.23555621883437
"(2, 4, 9)",20.124155650698228
"(0, 2, 7)",20.0964739484614
"(4, 7, 9)",20.03057070366862
"(2, 4, 10)",20.02871565628243
"(4, 7, 10)",19.93513070925282
"(0, 2, 4)",19.833773142272072
"(0, 4, 7)",19.74018819524246
"(1, 2, 5)",19.556577410513437
"(1, 5, 7)",19.46299246348383
"(1, 4, 5)",19.2002916572945
"(6,)",19.164390995530837
"(2, 7, 8)",18.724554049374614
"(2, 4, 8)",18.461853243185285
"(4, 7, 8)",18.368268296155676
"(2, 6, 10)",18.314283063636346
"(6, 7, 10)",18.220698116606734
"(5, 6)",18.1470767648728
"(0, 2, 6)",18.119340549625985
"(2, 9)",18.0323890893128
"(0, 6, 7)",18.025755602596377
"(7, 9)",17.892011668768383
"(2, 10)",17.889229097689096
"(7, 10)",17.748851677144685
"(2, 5, 9)",17.731513570946785
"(5, 7, 9)",17.637928623917176
"(2, 5, 10)",17.636073576530986
"(0, 2)",17.596815326673557
"(5, 7, 10)",17.542488629501374
"(4, 9)",17.49796045948439
"(0, 7)",17.456437906129146
"(0, 2, 5)",17.441131062520626
"(1, 2, 9)",17.40940061427508
"(4, 5, 9)",17.375227817727847
"(4, 10)",17.35480046786069
"(0, 5, 7)",17.347546115491014
"(1, 7, 9)",17.31581566724547
"(1, 2, 10)",17.31396061985928
"(4, 5, 10)",17.279787823312045
"(1, 7, 10)",17.220375672829668
"(5,)",17.12976253421476
"(0, 1, 2)",17.11901810584892
"(0, 4, 5)",17.084845309301684
"(0, 4)",17.062386696845152
"(1, 4, 9)",17.05311486105614
"(0, 1, 7)",17.02543315881931
"(1, 4, 10)",16.95767486664034
"(2, 3, 7)",16.824112408387663
"(0, 1, 4)",16.762732352629982
"(2, 6, 8)",16.7474206505392
"(6, 7, 8)",16.65383570350959
"(1, 5)",16.6465930992072
"(2, 3, 4)",16.561411602198334
"(3, 4, 7)",16.467826655168725
"(1,)",16.16342366419964
"(2, 5, 8)",16.06921116343384
"(5, 7, 8)",15.97562621640423
"(1, 2, 8)",15.747098206762134
"(4, 5, 8)",15.7129254102149
"(1, 7, 8)",15.653513259732524
"(5, 6, 10)",15.56535523066596
"(2, 8)",15.538935478043381
"(2, 9, 10)",15.488896780292626
"(7, 8)",15.398558057498967
"(7, 9, 10)",15.395311833263017
"(1, 4, 8)",15.390812453543194
"(0, 5, 6)",15.3704127166556
"(0, 2, 9)",15.293954266282267
"(0, 7, 9)",15.200369319252658
"(0, 2, 10)",15.198514271866467
"(4, 9, 10)",15.132611027073688
"(0, 7, 10)",15.104929324836856
"(4, 8)",15.004506848214973
"(0, 4, 9)",14.937668513063329
"(0, 4, 10)",14.842228518647527
"(6, 10)",14.78315157889156
"(1, 5, 9)",14.660472781304694
"(1, 5, 10)",14.565032786888894
"(0, 6)",14.490737807876021
"(0, 1, 5)",14.370090272878535
"(2, 3, 5)",14.16876952244689
"(3, 5, 7)",14.07518457541728
"(5, 6, 8)",13.998492817568815
"(2, 8, 9)",13.922034367195483
"(5, 9)",13.908997339857223
"(7, 8, 9)",13.828449420165871
"(2, 8, 10)",13.826594372779681
"(3, 4, 5)",13.812483769227951
"(5, 10)",13.765837348233521
"(7, 8, 10)",13.73300942575007
"(0, 2, 8)",13.631651858769322
"(4, 8, 9)",13.565748613976542
"(0, 7, 8)",13.538066911739712
"(0, 5)",13.473423577217982
"(4, 8, 10)",13.470308619560742
"(1, 9)",13.425827904849664
"(1, 10)",13.282667913225962
"(0, 4, 8)",13.275366105550383
"(0, 6, 10)",13.127795926001442
"(1, 5, 8)",12.99817037379175
"(0, 1)",12.990254142210423
"(5, 9, 10)",12.739968947322241
"(2, 3)",12.688273016562956
"(3, 7)",12.547895596018542
"(0, 5, 9)",12.545026433311882
"(0, 5, 10)",12.449586438896082
"(6, 8)",12.432857959245844
"(1, 9, 10)",12.417855990650535
"(0, 1, 9)",12.222913476640176
"(3, 4)",12.153844386734548
"(0, 1, 10)",12.127473482224376
"(2, 3, 9)",12.021592726208532
"(3, 7, 9)",11.928007779178923
"(2, 3, 10)",11.926152731792731
"(3, 7, 10)",11.832567784763121
"(6, 8, 10)",11.755876026914656
"(0, 2, 3)",11.731210217782372
"(3, 4, 9)",11.665306972989594
"(0, 3, 7)",11.637625270752762
"(3, 4, 10)",11.569866978573792
"(0, 6, 8)",11.560933512904297
"(5, 8)",11.415543728587805
"(0, 3, 4)",11.374924464563433
"(5, 8, 9)",11.173106534225099
"(5, 8, 10)",11.077666539809297
"(1, 8)",10.932374293580246
"(0, 5, 8)",10.882724025798938
"(1, 8, 9)",10.850993577553393
"(1, 8, 10)",10.75555358313759
"(9,)",10.688232145499686
"(0, 1, 8)",10.560611069127232
