Combi,k_eff
"(7, 9)",39.97215728832312
"(1, 7, 9)",35.14293357329952
"(3, 7, 9)",32.27710396812465
"(6, 7, 9)",31.759377365890856
"(7, 8, 9)",30.30579957337872
"(7, 9, 10)",29.368455093366446
"(4, 7, 9)",28.168264692015466
"(0, 7, 9)",28.13094240694858
"(5, 7, 9)",26.59321785389972
"(1,)",25.649147158199405
"(1, 7)",23.89078154424859
"(7,)",22.132415930297775
"(1, 3, 7)",21.611073810390657
"(1, 3)",21.350402750437098
"(1, 6, 7)",21.093347208156864
"(1, 6)",20.57381284708641
"(1, 7, 8)",19.63976941564473
"(3, 7)",19.592037136486283
"(6, 7)",18.815447233135593
"(1, 7, 10)",18.70242493563245
"(1, 8)",18.393446158318206
"(1, 3, 8)",17.946183553103733
"(0, 1, 7)",17.464912249214585
"(1, 6, 8)",17.428456950869943
"(3,)",17.051658342674788
"(1, 10)",16.98742943829979
"(3, 7, 8)",16.773939810469855
"(1, 2, 3)",16.713496204949045
"(7, 8)",16.63508054436739
"(1, 2)",16.544415136086172
"(1, 6, 10)",16.491112470857665
"(6, 7, 8)",16.256213208236066
"(1, 2, 6)",16.195769602715252
"(1, 5, 7)",15.927187696165726
"(1, 3, 9)",15.775765837512433
"(0, 1, 3)",15.77132638667359
"(6,)",15.498478535973415
"(6, 7, 10)",15.318868728223789
"(1, 6, 9)",15.258039235278641
"(0, 1, 6)",15.253599784439798
"(7, 10)",15.229063824348977
"(1, 9)",15.137819584931256
"(0, 1)",15.131160408672992
"(1, 8, 10)",15.03753467834553
"(1, 2, 8)",14.742191810203119
"(0, 3, 7)",14.599082644039713
"(1, 3, 5)",14.23360183362473
"(4, 6, 7)",14.11867832687281
"(3, 8)",14.094701750555899
"(0, 6, 7)",14.081356041805922
"(7, 8, 10)",13.865290935711654
"(1, 2, 10)",13.804847330190842
"(1, 8, 9)",13.804461442766506
"(0, 1, 8)",13.800021991927663
"(1, 5, 6)",13.715875231390939
"(4, 7)",13.42877822232251
"(0, 7)",13.372794794722177
"(6, 8)",13.318111847205213
"(3, 5, 7)",13.061358090990854
"(1, 9, 10)",12.86711696275423
"(0, 1, 10)",12.862677511915386
"(1, 5)",12.824573579099702
"(4, 7, 8)",12.665100534360676
"(0, 7, 8)",12.627778249293787
"(1, 2, 9)",12.571774094611818
"(0, 1, 2)",12.567334643772973
"(5, 6, 7)",12.543631488757063
"(2, 3)",12.245670728323866
"(6, 10)",11.912095127186797
"(2, 3, 8)",11.876362205028245
"(4, 7, 10)",11.727756054348399
"(0, 7, 10)",11.69043376928151
"(6, 8, 10)",11.653978470936867
"(0, 1, 9)",11.629604276336362
"(2, 6)",11.46908082497318
"(2, 6, 8)",11.358635602794454
"(1, 5, 10)",11.324952958866527
"(8,)",11.137745158437008
"(5, 7)",11.066207965148887
"(1, 2, 5)",11.029610090724116
"(3, 8, 9)",10.938631837591634
"(0, 3, 8)",10.934192386752791
"(3, 9)",10.839075177168947
"(0, 3)",10.832416000910683
"(0, 4, 7)",10.490243367930532
"(4, 6, 8)",10.453788069585888
"(2, 6, 10)",10.42129112278218
"(6, 8, 9)",10.420905235357843
"(0, 6, 8)",10.416465784519
"(5, 7, 10)",10.152709216232651
"(4, 6)",10.111809525160329
"(1, 5, 9)",10.091879723287503
"(0, 1, 5)",10.08744027244866
"(6, 9)",10.062485273818261
"(0, 6)",10.055826097559997
"(1, 3, 10)",9.786208257432952
"(8, 10)",9.731728438418592
"(2, 3, 9)",9.705944489436945
"(0, 2, 3)",9.701505038598103
"(1, 2, 7)",9.595245641867988
"(4, 6, 10)",9.516443589573612
"(1, 5, 8)",9.49368728067106
"(6, 9, 10)",9.483560755345566
"(0, 6, 10)",9.479121304506723
"(2, 8)",9.288714136204975
"(2, 4, 6)",9.221100721431199
"(2, 6, 9)",9.188217887203155
"(0, 2, 6)",9.183778436364312
"(1, 3, 6)",9.095887029602281
"(2, 8, 10)",8.967713330270044
"(4, 5, 7)",8.952518814881673
"(0, 5, 7)",8.915196529814784
"(0, 3, 9)",8.76377467116149
"(3, 7, 10)",8.613964514799074
"(3, 5)",8.525829171337394
"(1, 4, 7)",8.464141062561716
"(10,)",8.325711718400179
"(5, 7, 8)",8.321443538037183
"(4, 6, 9)",8.283370353994588
"(0, 4, 6)",8.278930903155745
"(0, 6, 9)",8.2460480689277
"(2, 3, 5)",8.163780485549243
"(4, 8, 10)",8.062865797061477
"(8, 9, 10)",8.029982962833431
"(0, 8, 10)",8.025543511994588
"(5, 6, 10)",7.941396751457864
"(4, 8)",7.931442836392126
"(3, 6, 7)",7.923643286968404
"(2, 10)",7.882697416186561
"(8, 9)",7.8821185850500575
"(0, 8)",7.8754594087917935
"(1, 3, 4)",7.842981672575958
"(2, 4, 8)",7.767522928919065
"(3, 4, 7)",7.755103968481716
"(5, 6)",7.749239267986708
"(2, 8, 9)",7.734640094691019
"(0, 2, 8)",7.730200643852177
"(2, 5, 6)",7.646053883315452
"(2,)",7.439683113972943
"(3, 5, 9)",7.2260501181126315
"(0, 3, 5)",7.221610667273788
"(2, 4, 10)",6.830178448906788
"(4, 8, 9)",6.829792561482453
"(0, 4, 8)",6.82535311064361
"(2, 9, 10)",6.797295614678743
"(0, 2, 10)",6.7928561638399
"(0, 8, 9)",6.792470276415564
"(4, 5, 6)",6.741206350106886
"(2, 3, 7)",6.729416036693115
"(5, 6, 9)",6.70832351587884
"(0, 5, 6)",6.703884065039997
"(3, 5, 8)",6.627857675496187
"(4, 10)",6.525426116373711
"(9, 10)",6.476101865031643
"(0, 10)",6.469442688773379
"(1, 4, 6)",6.252828597786929
"(2, 6, 7)",6.211689434459323
"(5, 6, 8)",6.110131073262395
"(2, 4)",6.082411814160093
"(2, 9)",6.033087562818025
"(0, 2)",6.026428386559761
"(4, 9, 10)",5.892448081470176
"(0, 4, 10)",5.888008630631333
"(0, 9, 10)",5.8551257964032875
"(2, 4, 9)",5.597105213327764
"(0, 2, 4)",5.592665762488922
"(0, 2, 9)",5.559782928260876
"(2, 5, 10)",5.25513161079104
"(3, 8, 10)",4.949074257512152
"(3, 6, 10)",4.8554578493088885
"(1, 4, 8)",4.799250805274794
"(2, 7, 8)",4.758111641947188
"(4,)",4.725140514347244
"(4, 9)",4.675816263005175
"(0, 4)",4.669157086746911
"(0, 4, 9)",4.654935395052309
"(9,)",4.626492011663107
"(0, 9)",4.619832835404843
"(0,)",4.613173659146579
"(4, 5, 10)",4.350284077582474
"(5, 9, 10)",4.317401243354428
"(0, 5, 10)",4.312961792515585
"(3, 6, 8)",4.258753029681481
"(5, 10)",4.162855859200089
"(3, 4, 8)",4.090213711194794
"(2, 4, 5)",4.054941209440062
"(2, 5, 9)",4.0220583752120165
"(0, 2, 5)",4.017618924373174
"(1, 4, 10)",3.8619063252625176
"(3, 4, 6)",3.8260603743863513
"(2, 7, 10)",3.8207671619349117
"(2, 5)",3.7198415569864713
"(5, 8, 10)",3.7192088007379835
"(2, 3, 10)",3.7163869093574626
"(1, 2, 4)",3.5665634571201057
"(2, 7, 9)",3.4718826415954007
"(2, 5, 8)",3.4238659325955716
"(4, 5, 9)",3.11721084200345
"(0, 4, 5)",3.1127713911646073
"(0, 5, 9)",3.0798885569365617
"(2, 3, 6)",3.026065681526793
"(3, 4, 10)",2.9769153203019214
"(2, 3, 4)",2.8575263630401055
"(3, 9, 10)",2.778656541920851
"(0, 3, 10)",2.774217091082008
"(1, 4, 9)",2.6288330896834937
"(0, 1, 4)",2.6243936388446505
"(2, 4, 7)",2.6205767605839334
"(0, 2, 7)",2.583254475517045
"(4, 5, 8)",2.5190183993870052
"(5, 8, 9)",2.4861355651589596
"(0, 5, 8)",2.481696114320117
"(4, 5)",2.362570257173622
"(5, 9)",2.3132460058315534
"(0, 5)",2.3065868295732894
"(3, 6, 9)",2.088335314090181
"(0, 3, 6)",2.083895863251338
"(3, 4, 9)",1.9197959956034938
"(0, 3, 4)",1.9153565447646508
"(3, 10)",1.8520316692216168
"(1, 4)",1.6266160313824405
"(2, 7)",1.564992090532902
"(5, 8)",1.4149196300977334
"(3, 5, 10)",1.2364925380331486
"(1, 4, 5)",1.0866690857957915
"(2, 5, 7)",1.0455299224681855
"(3, 6)",0.8153949365431643
"(3, 4)",0.5638687847025248
"(3, 5, 6)",0.5461713102024786
"(3, 4, 5)",0.3776319917157914
"(5,)",0.0
