Combi,k_eff
"(8,)",26.516666322296487
"(0, 8)",26.390347965346415
"(0,)",26.26402960839634
"(0, 1, 8)",25.684678041677415
"(1, 8)",25.395002258317955
"(0, 1)",25.26868390136788
"(1,)",24.273338194339424
"(0, 5, 8)",24.199450198913347
"(1, 5, 8)",23.535886394227706
"(0, 1, 5)",23.451674156260992
"(5, 8)",23.16716049417185
"(0, 5)",23.040842137221773
"(0, 3, 8)",22.294833240103017
"(1, 5)",22.045496430193317
"(1, 3, 8)",21.63126943541738
"(0, 1, 3)",21.547057197450663
"(0, 7, 8)",21.004952512682053
"(0, 8, 10)",20.950763304256323
"(0, 4, 8)",20.76056433957642
"(1, 7, 8)",20.341388707996416
"(3, 8)",20.31023505595636
"(1, 8, 10)",20.287199499570683
"(0, 1, 7)",20.2571764700297
"(0, 1, 10)",20.20298726160397
"(0, 3)",20.183916699006282
"(3, 5, 8)",20.146041592653308
"(1, 4, 8)",20.097000534890775
"(0, 3, 5)",20.061829354686594
"(0, 1, 4)",20.012788296924064
"(5,)",19.81765466604721
"(1, 3, 5)",19.398265550000954
"(1, 3)",19.188570991977826
"(5, 7, 8)",18.856160865232347
"(5, 8, 10)",18.801971656806614
"(0, 5, 7)",18.77194862726563
"(0, 5, 10)",18.717759418839897
"(4, 5, 8)",18.611772692126706
"(0, 4, 5)",18.527560454159993
"(7, 8)",18.375413964824915
"(8, 10)",18.294130152186312
"(0, 7)",18.24909560787484
"(1, 8, 9)",18.199233150179605
"(0, 10)",18.16781179523624
"(1, 5, 7)",18.108384822579993
"(1, 5, 10)",18.05419561415426
"(4, 8)",18.008831705166457
"(0, 4)",17.88251334821638
"(1, 4, 5)",17.863996649474352
"(0, 2, 8)",17.593565310230943
"(0, 6, 8)",17.593565310230943
"(1, 7)",17.253749900846383
"(1, 10)",17.172466088207784
"(3, 5)",16.96072922783172
"(3, 7, 8)",16.951543906422017
"(1, 2, 8)",16.930001505545302
"(3, 8, 10)",16.897354697996285
"(1, 4)",16.887167641187926
"(0, 3, 7)",16.867331668455304
"(0, 1, 2)",16.84578926757859
"(0, 3, 10)",16.813142460029567
"(5, 8, 9)",16.714005307415537
"(3, 4, 8)",16.70715573331638
"(0, 3, 4)",16.622943495349663
"(1, 3, 7)",16.203767863769663
"(1, 3, 10)",16.14957865534393
"(1, 5, 9)",15.966229264763182
"(1, 3, 4)",15.959379690664026
"(2, 7, 8)",15.629978419263619
"(7, 8, 10)",15.607473970575322
