Combi,k_eff
"(2, 7, 9)",6.3944827350937405
"(0, 2, 7)",6.268717351137557
"(1, 4, 6)",6.149939269706048
"(0, 2, 9)",6.113457649646044
"(0, 9, 10)",6.054132212474826
"(2, 6, 7)",6.0271441068516936
"(1, 4, 5)",6.0165279021971285
"(2, 8)",6.006349740872271
"(2, 10)",6.006349740872271
"(2, 5, 7)",5.893732739342774
"(2, 8, 9)",5.880641902070442
"(0, 2, 6)",5.746119021403997
"(0, 6, 8)",5.686793584232779
"(0, 6, 10)",5.686793584232779
"(1, 8, 9)",5.6212735754138565
"(1, 8)",5.6172972508873915
"(1, 10)",5.6172972508873915
"(0, 2, 5)",5.612707653895077
"(0, 5, 8)",5.553382216723859
"(0, 5, 10)",5.553382216723859
"(1, 2, 4)",5.500537656298534
"(1, 2, 7)",5.118374166787593
"(0, 1, 2)",4.837349081339897
"(0, 1, 8)",4.778023644168679
"(0, 1, 10)",4.778023644168679
"(4, 8, 9)",4.675344553620723
"(6, 8, 10)",4.653634773989028
"(5, 8, 10)",4.520223406480108
"(0, 2, 4)",4.276491273107835
"(4, 8)",4.198403718197692
"(4, 10)",4.198403718197692
"(2, 4, 7)",4.172445144994461
"(2, 8, 10)",4.004233160581514
"(1, 8, 10)",3.7448648339249275
"(0,)",3.099476430731256
"(0, 1, 4)",2.950579442344867
"(0, 8, 9)",2.909567551732681
"(8, 9)",2.8134344876901647
"(4, 8, 10)",2.798935812131795
"(1, 4)",2.2425648750701965
"(2, 7)",2.05588590849106
"(8, 9, 10)",1.876408741488929
"(0, 2)",1.6372477673838726
"(0, 8)",1.549738215365628
"(0, 10)",1.549738215365628
"(1, 4, 8)",1.4963044957170206
"(1, 4, 10)",1.4963044957170206
"(2, 7, 8)",1.3735093328626653
"(2, 7, 10)",1.3735093328626653
"(0, 2, 8)",1.0924842474149699
"(0, 2, 10)",1.0924842474149699
"(0, 8, 10)",1.033158810243752
"(8,)",0.0
"(10,)",0.0
"(8, 10)",0.0
