Combi,k_eff
"(2, 4)",22.77782939663081
"(2, 3, 4)",19.202439432818835
"(0, 2, 4)",18.79484188092826
"(2, 4, 10)",18.400892183938325
"(2, 4, 7)",16.549588770872376
"(2, 4, 5)",16.178902457527318
"(4,)",15.248359890752944
"(2, 4, 8)",15.172629237195167
"(1, 2, 4)",15.15394265599258
"(2, 4, 6)",15.15394265599258
"(3, 4)",13.696925110615854
"(0, 4)",13.085528782779994
"(0, 3, 4)",12.772182632012917
"(4, 10)",12.49460423729509
"(3, 4, 10)",12.378232935022979
"(3,)",12.145490330478765
"(0, 4, 10)",11.970635383132407
"(0, 3)",11.534094002642904
"(3, 10)",10.943169457158
"(0, 3, 10)",10.93634552970768
"(0,)",10.922697674807043
"(0, 3, 9)",10.765996318333576
"(3, 9)",10.687645640096843
"(3, 4, 7)",10.526929521957033
"(3, 9, 10)",10.372046621343639
"(0, 10)",10.331773129322137
"(3, 4, 5)",10.156243208611976
"(0, 4, 7)",10.11933197006646
"(0, 9)",10.076249312260982
"(0, 9, 10)",9.964449069453064
"(0, 4, 5)",9.7486456567214
"(10,)",9.740848583837233
"(4, 7)",9.717649117696167
"(9, 10)",9.485324766776078
"(4, 5, 10)",9.354695959731464
"(9,)",9.229800949714921
"(4, 5)",9.161619647678581
"(3, 4, 8)",9.149969988279825
"(1, 3, 4)",9.131283407077236
"(0, 3, 7)",9.085042116641732
"(0, 4, 8)",8.742372436389251
"(0, 1, 4)",8.723685855186663
"(0, 3, 5)",8.714355803296675
"(3, 7, 9)",8.520743208277691
"(4, 8, 10)",8.348422739399313
"(1, 4, 10)",8.329736158196724
"(4, 6, 10)",8.329736158196724
"(3, 5, 10)",8.320406106306738
"(3, 7)",8.166214337559078
"(3, 5, 9)",8.150056894932634
"(0, 7, 9)",8.113145656387118
"(0, 5, 10)",7.912808554416164
"(0, 5, 9)",7.74245934304206
"(0, 3, 8)",7.708082582964524
"(0, 1, 3)",7.689396001761936
"(0, 2, 3)",7.689396001761936
"(4, 8)",7.6522098171803545
"(1, 4)",7.624179945376472
"(4, 6)",7.624179945376472
"(3, 5)",7.610184867541491
"(0, 7)",7.554818009723217
"(4, 5, 7)",7.503392546665516
"(5, 9, 10)",7.348509646052123
"(3, 8, 10)",7.314132885974587
"(1, 3, 10)",7.295446304771999
"(2, 3, 10)",7.295446304771999
"(3, 8, 9)",7.143783674600483
"(1, 3, 9)",7.125097093397895
"(2, 3, 9)",7.125097093397895
"(0, 5)",6.998788539705631
"(0, 8, 10)",6.906535334084014
"(0, 1, 10)",6.887848752881425
"(0, 2, 10)",6.887848752881425
"(0, 8, 9)",6.73618612270991
"(0, 1, 9)",6.717499541507321
"(0, 2, 9)",6.717499541507321
"(7, 9)",6.708369647177156
"(4, 7, 8)",6.497119326333365
"(1, 4, 7)",6.478432745130777
"(4, 6, 7)",6.478432745130777
"(3, 5, 7)",6.4691026932407905
"(3, 4, 9)",6.4618871205155655
"(0, 4, 6)",6.450953502816089
"(5, 10)",6.407863994220724
"(8, 9, 10)",6.342236425719973
"(1, 9, 10)",6.323549844517384
"(2, 9, 10)",6.323549844517384
"(6, 9, 10)",6.323549844517384
"(5, 9)",6.152340177159569
"(4, 5, 8)",6.126433012988308
"(4, 5, 6)",6.10774643178572
"(3, 8)",6.100775037043265
"(1, 3)",6.0727451652393825
"(2, 3)",6.0727451652393825
"(0, 5, 7)",6.061505141350216
"(0, 4, 9)",6.054289568624991
"(4, 7, 10)",6.006468914410227
"(3, 4, 6)",5.798398311740126
"(4, 9, 10)",5.660339871635054
"(5, 7, 9)",5.4972062329861755
"(0, 8)",5.489378709207404
"(3, 7, 8)",5.4628294729086395
"(0, 1)",5.461348837403522
"(0, 2)",5.461348837403522
"(1, 3, 7)",5.4441428917060515
"(2, 3, 7)",5.4441428917060515
"(1, 4, 5)",5.113887344001391
"(1, 4, 8)",5.101473211453569
"(4, 6, 8)",5.101473211453569
"(3, 5, 8)",5.092143159563582
"(1, 4, 6)",5.082786630250981
"(2, 3, 5)",5.073456578360994
"(0, 7, 8)",5.055231921018065
"(0, 1, 7)",5.036545339815477
"(0, 2, 7)",5.036545339815477
"(3, 7, 10)",4.972179060985501
"(8, 10)",4.898454163722499
"(0, 3, 6)",4.884485167817976
"(1, 10)",4.870424291918616
"(2, 10)",4.870424291918616
"(6, 10)",4.870424291918616
"(0, 5, 8)",4.684545607673008
"(0, 2, 5)",4.66585902647042
"(8, 9)",4.642930346661343
"(0, 6, 10)",4.6151164005108525
"(1, 9)",4.6149004748574605
"(2, 9)",4.6149004748574605
"(6, 9)",4.6149004748574605
"(0, 7, 10)",4.564581509094927
"(7, 8, 9)",4.4909330126540254
"(1, 7, 9)",4.4722464314514365
"(2, 7, 9)",4.4722464314514365
"(6, 7, 9)",4.4722464314514365
"(0, 6, 9)",4.444767189136749
"(5, 8, 10)",4.290595910683071
"(2, 5, 10)",4.271909329480483
"(5, 6, 10)",4.271909329480483
"(7,)",4.18693834463939
"(5, 8, 9)",4.120246699308967
"(2, 5, 9)",4.101560118106379
"(5, 6, 9)",4.101560118106379
"(1, 3, 5)",4.079597490576665
"(1, 3, 8)",4.067183358028843
"(2, 3, 8)",4.067183358028843
"(1, 2, 3)",4.048496776826255
"(7, 9, 10)",4.000282600730886
"(3, 6, 10)",3.962561209434889
"(4, 7, 9)",3.8090364585691074
"(3, 6, 9)",3.792211998060785
"(0, 1, 5)",3.6719999386860915
"(0, 1, 8)",3.6595858061382693
"(0, 2, 8)",3.6595858061382693
"(0, 1, 2)",3.640899224935681
"(5, 7)",3.6309088746218037
"(4, 9)",3.617931839794264
"(4, 5, 9)",3.4383501452240495
"(1, 5, 10)",3.2780502416961546
"(1, 8, 10)",3.2656361091483324
"(2, 8, 10)",3.2656361091483324
"(6, 8, 10)",3.2656361091483324
"(1, 2, 10)",3.246949527945744
"(1, 6, 10)",3.246949527945744
"(2, 6, 10)",3.246949527945744
"(1, 5, 9)",3.1077010303220507
"(1, 8, 9)",3.0952868977742285
"(2, 8, 9)",3.0952868977742285
"(6, 8, 9)",3.0952868977742285
"(1, 2, 9)",3.07660031657164
"(1, 6, 9)",3.07660031657164
"(2, 6, 9)",3.07660031657164
"(5,)",3.074879404604217
"(2, 4, 9)",2.9409278480588728
"(0, 6, 7)",2.7638129874449056
"(5, 7, 8)",2.439292497617124
"(4, 8, 9)",2.432076924891899
"(2, 5, 7)",2.4206059164145355
"(5, 6, 7)",2.4206059164145355
"(1, 4, 9)",2.4133903436893105
"(4, 6, 9)",2.4133903436893105
"(0, 5, 6)",2.3931266740998476
"(7, 8)",2.1214990441235777
"(3, 6, 7)",2.111257796368942
"(1, 7)",2.093469172319695
"(2, 7)",2.093469172319695
"(6, 7)",2.093469172319695
"(0, 6)",2.051398458617284
"(5, 7, 10)",1.9486420856939852
"(3, 5, 6)",1.7405714830238843
"(5, 8)",1.565469574105991
"(2, 5)",1.5374397023021085
"(5, 6)",1.5374397023021085
"(1, 5, 7)",1.4267468286302074
"(1, 7, 8)",1.414332696082385
"(2, 7, 8)",1.414332696082385
"(6, 7, 8)",1.414332696082385
"(1, 2, 7)",1.3956461148797967
"(1, 6, 7)",1.3956461148797967
"(2, 6, 7)",1.3956461148797967
"(0, 6, 8)",1.386853453767697
