pool,score,output
"[1, 3]",0.9256649880204846,
"[1, 4]",0.9256649880204846,
"[1, 7]",0.9256649880204846,
"[4, 7]",0.9256649880204846,
"[1, 9]",0.777127922576921,
"[2, 5]",0.777127922576921,
"[2, 9]",0.777127922576921,
"[5, 9]",0.777127922576921,
"[3, 7]",0.5709535563395121,
"[1, 5]",0.5333275751592633,
"[3, 6]",0.5231903123753301,
"[3, 9]",0.5231903123753301,
"[3, 10]",0.5231903123753301,
"[9, 10]",0.5231903123753301,
"[1, 2]",0.4657393595587871,
"[1, 10]",0.28952722774160566,
"[1, 11]",0.28952722774160566,
"[5, 11]",0.28952722774160566,
"[10, 11]",0.28952722774160566,
"[3, 4]",0.24569533006062477,
"[6, 10]",0.23911848059102792,
"[2, 3]",0.21624212465853954,
"[2, 7]",0.21624212465853954,
"[2, 11]",0.21624212465853954,
"[3, 11]",0.21624212465853954,
"[6, 9]",0.15903861695121574,
"[2, 4]",0.15713117860910808,
"[2, 10]",0.15713117860910808,
"[4, 10]",0.15713117860910808,
"[8, 10]",0.15713117860910808,
"[2, 8]",0.15574098757488064,
"[1, 6]",0.1543507965406532,
"[1, 8]",0.1543507965406532,
"[2, 6]",0.1543507965406532,
"[6, 8]",0.1543507965406532,
"[7, 11]",0.12700622798250372,
"[5, 10]",0.1222869382741657,
"[7, 8]",0.0377703313064679,
"[7, 9]",0.0377703313064679,
"[8, 9]",0.0377703313064679,
"[8, 11]",0.0377703313064679,
"[5, 6]",-0.04495335119327426,
"[5, 7]",-0.04495335119327426,
"[6, 7]",-0.04495335119327426,
"[7, 10]",-0.04495335119327426,
"[9, 11]",-0.08367137358321536,
"[4, 8]",-0.13857157464506348,
"[4, 6]",-0.2051130784728986,
"[4, 9]",-0.2051130784728986,
"[4, 11]",-0.2051130784728986,
"[6, 11]",-0.2051130784728986,
"[3, 5]",-0.43427432789923504,
"[3, 8]",-0.43427432789923504,
"[4, 5]",-0.43427432789923504,
"[5, 8]",-0.43427432789923504,
